case_id,current_A,current_density_A_cm2,V_cell_meas,T_stack_C,pO2_ca_kPa,pH2_an_kPa,pH2O_ca_kPa,pH2O_an_kPa,RH_ca,RH_an,lambda_mem,lambda_O2_actual,C_O2_mol_m3,R_ohm_cell_target_ohm,V_nt_V,book_reference_V,book_reference_err_V,current_applied_V,current_applied_err_V,oxygen_constrained_refit_V,oxygen_constrained_refit_err_V,selected_candidate_V,selected_candidate_err_V,selected_V_act_V,selected_V_ohm_V,selected_V_conc_V,selected_Rm_ohm,selected_Rc_ohm,selected_R_ohm_total_ohm
bench_j0p10,38,0.1,0.80165625,61.1,26.4432593913247,143.64326199572,15.1041914495239,5.48173800428015,0.8,0.3,4.99525,4.91459241694795,0.0231120123968092,0.00030625,1.19366805174927,-0.331499294989607,-1.13315554498961,0.772138925675705,-0.029517324324295,0.772138925675705,-0.029517324324295,0.772138925675705,-0.029517324324295,0.409948366723923,0.0115027503756544,7.80089739893745e-05,5.08347809529445e-06,0.00029762047915877,0.000302703957254064
bench_j0p20,76,0.2,0.7726375,63.9,30.0894111979557,161.980693169402,12.6001255467509,6.04430683059799,0.6,0.3,3.46525,3.54997721868071,0.0259753331280165,0.00030625,1.19393184439352,-0.376112201266674,-1.14874970126667,0.766328529749319,-0.00630897025068089,0.766328529749319,-0.00630897025068089,0.766328529749319,-0.00630897025068089,0.404363364998724,0.023161940671491,7.80089739893745e-05,7.14189809769114e-06,0.00029762047915877,0.000304762377256461
bench_j0p30,114,0.3,0.75044375,65.35,31.0216598696648,174.966867227374,13.2502512187837,6.35813277262614,0.6,0.3,3.46525,2.9731471227948,0.0266111571794172,0.00030625,1.19403801047275,-0.412376497715669,-1.16282024771567,0.754987253655473,0.00454350365547318,0.754987253655473,0.00454350365547307,0.754987253655473,0.00454350365547307,0.404226705277094,0.0347460425661928,7.80089739893745e-05,7.16936791309725e-06,0.00029762047915877,0.000304789847071867
bench_j0p40,152,0.4,0.73384375,67.6,32.9422687893888,184.237151259384,14.1826668764259,7.18784874061618,0.6,0.3,3.46525,2.38807659696766,0.0279855155208712,0.00030625,1.19332004657966,-0.446046424340794,-1.17989017434079,0.743926127237407,0.0100823772374073,0.743926127237407,0.0100823772374072,0.743926127237407,0.0100823772374072,0.402981413614808,0.046334496753459,7.80089739893745e-05,7.21173632451311e-06,0.00029762047915877,0.000304832215483283
bench_j0p60,228,0.6,0.7102375,72.9,36.4057139049126,201.639127598619,17.5507092844266,9.28587240138139,0.6,0.3,3.46525,1.98429552984753,0.0302432368318791,0.0003,1.19091429469005,-0.511796735138055,-1.22203423513806,0.718216821537057,0.00797932153705749,0.718216821537057,0.00797932153705738,0.718216821537057,0.00797932153705738,0.403095242970554,0.0695242212084532,7.80089739893745e-05,7.31031561514747e-06,0.00029762047915877,0.000304930794773917
bench_j0p70,266,0.7,0.701175,76.2,37.8824825789663,211.446215271651,20.5016941338125,10.8787847283489,0.6,0.3,3.46525,1.8802306717326,0.0310451241016899,0.0003,1.18914848248275,-0.545924666980001,-1.24709966698,0.703100308429802,0.00192530842980221,0.703100308429802,0.0019253084298021,0.703100308429802,0.0019253084298021,0.404842473998142,0.0811276910808114,7.80089739893745e-05,7.37084069390464e-06,0.00029762047915877,0.000304991319852675
bench_j0p90,342,0.9,0.68263125,78.65,41.6925139774027,228.892918367573,22.3153867427077,11.8320816324273,0.6,0.3,3.46525,1.79201883121889,0.0338299692529879,0.0003,1.18901979341599,-0.596497998690212,-1.27912924869021,0.683862132570114,0.00123088257011417,0.683862132570114,0.00123088257011417,0.683862132570114,0.00123088257011417,0.400757395596151,0.104322256275738,7.80089739893745e-05,7.41535790479104e-06,0.00029762047915877,0.000305035837063561
bench_j1p10,418,1.1,0.6660375,79.5,45.8231389837559,249.392918367573,22.5987996002102,11.8320816324273,0.6,0.3,3.46525,1.79251825121533,0.0370549767307196,0.0003,1.19033188684969,-0.639971915090154,-1.30600941509015,0.668372455957857,0.00233495595785738,0.668372455957857,0.00233495595785738,0.668372455957857,0.00233495595785738,0.3943700206169,0.127511401300948,7.80089739893745e-05,7.43072012579492e-06,0.00029762047915877,0.000305051199284565
bench_j1p30,494,1.3,0.646875,80.45,48.7402584812258,259.589023709575,18.6746015215954,11.6359762904251,0.5,0.3,3.1285,1.78830007309157,0.039264658596347,0.00030625,1.19062563558445,-0.69243096299762,-1.33930596299762,0.648753722157631,0.0018787221576313,0.648753722157631,0.00187872215763141,0.648753722157631,0.00187872215763141,0.390740397747971,0.151053506704862,7.80089739893745e-05,8.15585020329954e-06,0.00029762047915877,0.000305776329362069
bench_j1p50,570,1.5,0.62398125,80.6,48.9903028744302,260.178027896441,17.3810721984241,11.3469721035593,0.45,0.3,3.0199375,1.79048061762986,0.0394425301419853,0.00030625,1.19057539200118,-0.831718414148746,-1.45569966414875,0.625516358075279,0.00153510807527857,0.625516358075279,0.00153510807527868,0.625516358075279,0.00153510807527868,0.3905398047081,0.174441220243813,7.80089739893745e-05,8.41674933914818e-06,0.00029762047915877,0.000306037228497918
