case_group,source_case_id,current_density_A_cm2,pO2_scale,pO2_ca_kPa,V_cell,delta_V_vs_base,eta_act_V,delta_eta_act_vs_base,eta_ohm_V,eta_con_V
low_current_j0p10,bench_j0p10,0.1,1,26.4432593913247,0.772138925675705,0,0.409948366723923,0,0.0115027503756544,7.80089739893745e-05
low_current_j0p10,bench_j0p10,0.1,0.8,21.1546075130598,0.755055063754972,-0.0170838619207327,0.427032228644656,0.0170838619207327,0.0115027503756544,7.80089739893745e-05
low_current_j0p10,bench_j0p10,0.1,0.6,15.8659556347948,0.733030135076141,-0.0391087905995635,0.449057157323486,0.0391087905995634,0.0115027503756544,7.80089739893745e-05
low_current_j0p10,bench_j0p10,0.1,0.5,13.2216296956624,0.719071603525055,-0.0530673221506501,0.463015688874573,0.0530673221506501,0.0115027503756544,7.80089739893745e-05
mid_current_j0p70,bench_j0p70,0.7,1,37.8824825789663,0.703100308429802,0,0.404842473998142,0,0.0811276910808114,7.80089739893745e-05
mid_current_j0p70,bench_j0p70,0.7,0.8,30.305986063173,0.685244669949599,-0.0178556384802034,0.422698112478346,0.0178556384802034,0.0811276910808114,7.80089739893745e-05
mid_current_j0p70,bench_j0p70,0.7,0.6,22.7294895473798,0.662224748232472,-0.0408755601973297,0.445718034195472,0.0408755601973297,0.0811276910808114,7.80089739893745e-05
mid_current_j0p70,bench_j0p70,0.7,0.5,18.9412412894831,0.647635629317372,-0.0554646791124297,0.460307153110572,0.0554646791124297,0.0811276910808114,7.80089739893745e-05
high_current_j1p50,bench_j1p50,1.5,1,48.9903028744302,0.625516358075279,0,0.3905398047081,0,0.174441220243813,7.80089739893745e-05
high_current_j1p50,bench_j1p50,1.5,0.8,39.1922422995441,0.60743583106119,-0.0180805270140889,0.408620331722189,0.0180805270140889,0.174441220243813,7.80089739893745e-05
high_current_j1p50,bench_j1p50,1.5,0.6,29.3941817246581,0.584125977597805,-0.0413903804774736,0.431930185185573,0.0413903804774736,0.174441220243813,7.80089739893745e-05
high_current_j1p50,bench_j1p50,1.5,0.5,24.4951514372151,0.569353111371337,-0.0561632467039417,0.446703051412042,0.0561632467039417,0.174441220243813,7.80089739893745e-05
