condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,lambda_O2_final_sample,lambda_O2_window_min,lambda_O2_window_max,lambda_O2_window_range,m_ca_in_actual_kg_s,m_ca_in_final_sample_kg_s,ca_in_flowing_fraction_30s,dV_cell_30s,dp_stack_internal_30s_kPa,is_dynamic_stable,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,solve_status,pO2_ca_in_target_kPa,pO2_ca_in_target_error_kPa,abs_pO2_error_kPa,pressure_order_ok,dq60_speed_min_flow_lpm,dq60_speed_max_flow_lpm,dq60_speed_flow_in_grid,condition_target,current_density_target_A_cm2,pO2_ca_in_noEGR_kPa,air_flow_control,lookup_quality,thermal_ok,humidity_ok,pO2_target_ok,oxygen_ok,dq60_operating_map_ok,selection_score,study_type,dq60_global_map_ok,normal_operation_ok,risk_label
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0,1,71.8,0.774775178310829,942.126616825968,17.7148004495579,148.901826314959,63.5105185113476,-125.906996142919,582.737383174032,359.427879410036,346.597184742051,2.61931516486383,2.40341433515425,2.40450982319515,2.40199684409201,2.40450982319515,0.00251297910313664,0.00110010038483675,0.00110060181598733,1,0.000272331305757101,0.00763712567828634,1,0.00154729000000001,0,0.00104276529720532,0,0,3000,72.5229734425148,28.9999999999999,1.22794262134015,50.6704963643883,1,127.224999999999,61.2000000000003,156.224999999999,93.7849739497279,61.2000000000003,156.224999999999,0.192539144761295,30.0794278903331,0.599999999999987,66.5105185113475,0,6,63.2,64.6,1157.50870326611,no_egr_reference,30.0794278903331,0,0,1,80,450,0,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,good,1,1,1,1,0,NaN,constant_pO2_DQ60_speed_flow,0,0,dq60_map_boundary
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.05,1.2,86.16,0.775959549974784,943.566812769337,17.8357144163952,149.187828708581,63.5092884932842,-126.007020346493,581.297187230664,358.005661575175,346.586116579965,2.71242942201613,2.46198175046962,2.4631598413811,2.46045738638469,2.4631598413811,0.00270245499640609,0.00113956682619919,0.00114010920437567,1,0.000273927047061528,0.00679488303981657,1,0.001856748,5.40841965429562e-05,0.00102759973431617,5.40841965429562e-05,0.05,3000,87.1559161219963,28.2844083877844,1.22231800658519,59.4332396001885,0,127.224999999999,61.3546588310899,155.509408387784,93.2047277908238,61.2000000000003,155.509408387784,0.190207903106163,29.5791184827203,0.611258173403601,66.5092884932841,0,6,63.2,64.6,1157.51367848739,best_effort_unreachable_with_DQ60_map,30.0794278903331,-0.500309407612797,0.500309407612797,1,80,450,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,0.524309407612797,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.1,1.2,86.16,0.774818339653616,942.179101018796,17.5485885211417,149.143144077438,63.5103861277224,-125.910800156323,582.684898981203,359.274791936283,346.595993365504,2.72491383573983,2.4447834361869,2.44593682309911,2.44329101472655,2.44593682309911,0.00264580837255757,0.00114524922079967,0.00114578391616671,1,0.000273691589856573,0.0066073761402663,1,0.001856748,0.000108628764661617,0.000977658881954553,0.000108628764661617,0.1,3000,87.2875473246646,28.2712452674665,1.22221454327006,59.4351658014544,0,127.224999999999,61.5106983667347,155.496245267466,93.3617995708896,61.2000000000003,155.496245267466,0.187746149921839,29.1938213762686,0.62545641091215,66.5103861277223,0,6,63.2,64.6,1157.50917920424,best_effort_unreachable_with_DQ60_map,30.0794278903331,-0.885606514064531,0.885606514064531,1,80,450,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,0.909606514064531,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.15,1.2,86.16,0.773562464093393,940.651956337566,17.2393371617796,149.097203789758,63.5115946387807,-125.804806952606,584.212043662435,360.672122296903,346.606867845165,2.7378604729719,2.42574717676687,2.42687384024964,2.42428931021876,2.42687384024964,0.00258453003087755,0.00115109374822444,0.00115162039910757,1,0.000273398324238228,0.00641428157672408,1,0.001856748,0.000163653456251909,0.000927369585427488,0.000163653456251909,0.15,3000,87.4227412307304,28.257725876774,1.22210827963786,59.4366247587579,0,127.224999999999,61.6681857013498,155.482725876773,93.5200687553377,61.2000000000003,155.482725876773,0.185138902788257,28.7859012713532,0.639907769416558,66.5115946387807,0,6,63.2,64.6,1157.50426165311,best_effort_unreachable_with_DQ60_map,30.0794278903331,-1.29352661897996,1.29352661897996,1,80,450,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,1.31752661897996,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.2,1.2,86.16,0.772173491194316,938.962965292289,16.9051444515134,149.049927605302,63.5129318558565,-125.687442928132,585.901034707711,362.218267654272,346.618900451567,2.75130953000396,2.40461640624589,2.40571406150756,2.40319605021713,2.40571406150756,0.00251801129043328,0.00115710909517289,0.00115762730877658,1,0.000273033724187743,0.00621518865750659,1,0.001856748,0.00021917940479789,0.000876717619191559,0.00021917940479789,0.2,3000,87.5618183761291,28.243818162112,1.22199896374445,59.4375651383406,0,127.224999999999,61.8271942083017,155.468818162111,93.6795812079456,61.2000000000003,155.468818162111,0.182368654850545,28.3526392394281,0.654625324286445,66.5129318558565,0,6,63.2,64.6,1157.49886397129,best_effort_unreachable_with_DQ60_map,30.0794278903331,-1.72678865090499,1.72678865090499,1,80,450,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,1.75078865090499,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.25,1.725,123.855,0.794657338689341,966.303323846239,20.7278481228212,153.055230899759,63.4900730550406,-127.451761488177,558.560676153762,335.787360638796,346.413206530596,3.81187047254729,3.35498978776123,3.3564753879158,3.35306687136702,3.3564753879158,0.00340851654878094,0.00160635967983815,0.00160705678840304,1,0.000246395226642493,0.0059255467423327,1,0.00266907524999999,0.000386955308164893,0.00116086592449468,0.000386955308164893,0.25,3500,125.887575398427,32.0292159223658,1.25175253230544,96.0664788748085,0,127.224999999999,61.9669783885786,159.254215922365,97.7803321677318,61.2000000000003,159.254215922365,0.183336126390559,29.1970510585721,0.667615244677478,66.4900730550406,0,6,63.2,64.6,1157.59583595848,best_effort_unreachable_with_DQ60_map,30.0794278903331,-0.88237683176105,0.88237683176105,1,125,520,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,0.91687683176105,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.3,1.725,123.855,0.793756593741359,965.208017989492,20.4532717045482,153.018539166727,63.4909309866841,-127.373614157136,559.655982010508,336.779329153906,346.42092635244,3.82934066129793,3.33388081042204,3.33532450566403,3.33201209144414,3.33532450566403,0.00331241421988748,0.00161421403361884,0.00161489716210942,1,0.000245417236825252,0.00575434287586063,1,0.00266907524999999,0.000466344648677747,0.00108813751358141,0.000466344648677747,0.3,3500,126.057768454353,32.0228336826803,1.25170236732531,96.0939205306325,0,127.224999999999,62.1244847860829,159.24783368268,97.9480687485457,61.2000000000003,159.24783368268,0.181136478574752,28.8455918139383,0.679506822156939,66.4909309866841,0,6,63.2,64.6,1157.59181581986,best_effort_unreachable_with_DQ60_map,30.0794278903331,-1.23383607639483,1.23383607639483,1,125,520,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,1.26833607639483,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.35,1.725,123.855,0.792755213958828,963.990340173935,20.1545242062207,152.9806677431,63.4918858584884,-127.286746390339,560.873659826065,337.883383322783,346.429518461324,3.84750443229798,3.3100860329761,3.31148466199923,3.30827560238455,3.31148466199923,0.0032090596146741,0.0016223221801631,0.00162299070956351,1,0.000244327725443139,0.00557706668021751,1,0.00266907524999999,0.000546475467597569,0.00101488301125263,0.000546475467597569,0.35,3500,126.23330340102,32.016251122074,1.25165062780477,96.1212304884516,0,127.224999999999,62.2835322392525,159.241251122073,98.11729728824,61.2000000000003,159.241251122073,0.178780762291992,28.4692722639348,0.691669414272439,66.4918858584884,0,6,63.2,64.6,1157.58737018839,best_effort_unreachable_with_DQ60_map,30.0794278903331,-1.61015562639832,1.61015562639832,1,125,520,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,1.64465562639832,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.4,1.725,123.855,0.791635598926494,962.628888294616,19.8280906621115,152.941532860275,63.4929546552877,-127.189611859754,562.235111705383,339.119161566071,346.439135689827,3.86642630923912,3.28317485828134,3.2845248223083,3.28142737332428,3.2845248223083,0.00309744898401787,0.00163070041869029,0.00163135367409449,1,0.000243104284973095,0.00539320861906845,1,0.00266907524999999,0.000627385570230112,0.000941078355345167,0.000627385570230112,0.400000000000001,3500,126.414736808521,32.0094473691681,1.25159714969291,96.148375033343,0,127.224999999999,62.4442092409024,159.234447369167,98.2880937107842,61.2000000000003,159.234447369167,0.176247378075088,28.0646538480514,0.704119170871136,66.4929546552876,0,6,63.2,64.6,1157.58242938004,best_effort_unreachable_with_DQ60_map,30.0794278903331,-2.01477404228173,2.01477404228173,1,125,520,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,2.04927404228173,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.45,2.07,148.626,0.792523932398741,963.70910179687,20.0447922647431,153.032103001436,63.4920910631125,-127.27416440017,561.15489820313,338.120663295627,346.4313650513,3.87703425637296,3.31410644713928,3.31556237391591,3.31222186035588,3.31556237391591,0.00334051356003418,0.0016350852192646,0.00163578709060892,1,0.000246583968148362,0.00474316676084641,1,0.00320289029999999,0.000708063775401679,0.000865411281046496,0.000708063775401679,0.45,3500,151.591997402761,31.0653000968581,1.24417606679031,112.199426163869,0,127.224999999999,62.3699816400736,158.290300096857,97.2263799548863,61.2000000000003,158.290300096857,0.17751518187135,28.0989314101642,0.693808872090649,66.4920910631125,0,6,63.2,64.6,1157.5864721524,best_effort_unreachable_with_DQ60_map,30.0794278903331,-1.98049648016889,1.98049648016889,1,125,520,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,2.02189648016889,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
constant_pO2_DQ60_speed_flow,j0.20_boundary_076A,2,76,0.2,76,0.2,0.5,2.07,148.626,0.791553861731764,962.529495865824,19.7625703582701,153.001285365047,63.4930164184279,-127.189668324583,562.334504134176,339.190588724118,346.439691559218,3.89389217542257,3.29083062642088,3.29224244320363,3.28900309056571,3.29224244320363,0.00323935263791908,0.00164251263227407,0.00164320123228885,1,0.000245434451546123,0.00459613466173892,1,0.00320289029999999,0.000789909666138738,0.000789909666138738,0.000789909666138738,0.5,3500,151.776869808266,31.0583673815191,1.24412157502213,112.221515510867,0,127.224999999999,62.5054494287197,158.283367381518,97.3687101227241,61.2000000000003,158.283367381518,0.175328391907453,27.7515682686983,0.704244172213934,66.4930164184279,0,6,63.2,64.6,1157.58219469037,best_effort_unreachable_with_DQ60_map,30.0794278903331,-2.32785962163484,2.32785962163484,1,125,520,1,pO2_ca_in,0.2,30.0794278903331,solved_flow_and_DQ60_speed,coarse_grid,1,1,0,1,1,2.36925962163484,constant_pO2_DQ60_speed_flow,1,0,pO2_target_miss
