case_id,case_index,current_A,current_density_A_cm2,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,pH2_stack_kPa,p_an_internal_kPa,T_stack_C,lambda_membrane,xO2_stack,RH_stack,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,E_nernst_V,eta_act_V,eta_ohm_V,eta_con_V,lambda_O2_actual,pO2_core_in_kPa,CO2_voltage_mol_m3,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error
bench_038A,1,38,0.1,0,0.793033563122699,482.164406378601,18.2058401917578,136.24537226461,143.280682941848,150.170632882668,61.7092612034173,4.78808841573427,0.133625384034322,0.77827627099409,-179.080892506611,280.267593621399,126.817164340528,330.386932448606,2.14438933887619,1.19422822725692,0.391680717071833,0.00943593808839956,7.80089739893745e-05,3.1104893259994,26.4313536258226,0.0199035187472518,0.001071035,0,0.000690553060630714,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7092612034173,0,5.5,61.6,60.6,-383.166666666667,1160.67881712899,0.8017,-0.00866643687730062
bench_076A,2,76,0.2,0,0.774893918711964,942.271005153749,17.7232953303709,148.898497042536,159.754742099515,167.734073118714,63.4739599011204,4.22653424082144,0.119029376940641,0.713656067616134,-83.2925452126207,582.592994846251,317.03954932036,346.267304960987,2.57868577752419,1.19442216336394,0.400527526931389,0.0189227087465978,7.80089739893745e-05,2.40450982319515,30.0794278903335,0.0206846687183459,0.00154729,0,0.00104317235138007,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.4739599011204,0,6,63.2,64.6,585.199999999996,1157.24800609081,0.7726,0.00229391871196449
bench_114A,3,114,0.3,0,0.760182376384922,1386.5726545261,16.8122630458994,150.66724413862,172.940411567046,181.939978927489,64.8712356788204,3.80891253788276,0.111585388994249,0.647771624419537,-7.02719739575629,900.723345473902,544.98641407665,358.841261653332,3.92286713967623,1.19491652804786,0.406202070316534,0.0284540723724095,7.80089739893745e-05,2.16848793764095,31.0111539834983,0.0211228864374442,0.00194381,0,0.0014055569620216,0,0,3000,87.4437021549634,28.2556297845037,1.21233759307532,59.7768921711017,0,133.069370219716,62.3,161.32500000422,92.899438575588,62.3,161.32500000422,0.192227825710133,31.0111539834983,0.600000000015693,67.8712356788204,0,6,64.4,66.3,794.199999999996,1156.50499011625,0.7504,0.00978237638492219
bench_152A,4,152,0.4,0,0.74265040294112,1806.1257799528,16.0454361509076,159.729317835569,182.461841814029,192.566253193639,66.5729706750218,3.68348282397912,0.100453920221617,0.620018160092432,86.4688964280472,1243.6022200472,778.0459346482,374.155006697268,4.93238227368017,1.19438623443388,0.413683831432069,0.0379739910866988,7.80089739893745e-05,1.9105825888283,32.9310350905214,0.020606477679617,0.00208173,0,0.00163718208039513,0,0,3000,87.4508306362743,28.2549169363726,1.19735210269675,60.0430311917013,0,143.170083066148,63.8,171.42500000252,92.4993556529828,63.8,171.42500000252,0.192101706810776,32.9310350905214,0.600000000008821,69.5729706750218,0,6,65.9,69.3,1421.2,1156.13646110651,0.7338,0.00885040294112016
bench_228A,5,228,0.6,0,0.712804236752489,2600.30985567308,15.6925471797503,176.221207143377,200.617148676615,214.773984920323,71.3381888818898,3.52889433716112,0.0890502762643237,0.563727987337267,350.973346831257,1974.28214432692,1199.7288601062,417.036680470072,6.54325691938987,1.19216021743392,0.42223615001282,0.0570418216946209,7.80089739893745e-05,1.7161036389172,36.3920985313425,0.0212272859466177,0.00259462,0,0.00220812855990533,0,0,3000,96.8417079333825,27.3158292066617,1.16655062076176,64.6764880032153,0,164.009170795802,68.6,191.325000002464,93.403136656258,68.6,191.325000002464,0.190210890008487,36.3920985313425,0.600000000007727,74.3381888818898,0,6,70.3,75.5,2173.6,1155.59786955367,0.7102,0.002604236752489
bench_266A,6,266,0.7,0,0.696973002069245,2966.31709680671,15.7149888371218,184.320924754943,205.232359447041,224.006813828888,74.4088603398904,3.58927753418768,0.0852588432811686,0.538543208747287,523.413061839794,2370.70690319329,1396.66155494104,444.669274797777,5.96301161468179,1.18950844387092,0.425922790104458,0.0665346427232265,7.80089739893745e-05,1.66598651941838,37.8671467037208,0.0217342933163681,0.002868305,0,0.00251582151986358,0,0,3000,102.064156716496,26.7935843283504,1.15351725776645,66.8741025527044,0,174.531415673878,72.2,201.325000002229,95.3988563192653,72.2,201.325000002229,0.188089639653802,37.8671467037208,0.600000000006642,77.4088603398904,0,6,73.2,79.2,2508,1155.35393862588,0.7012,-0.00422699793075476
bench_342A,7,342,0.9,0,0.67917322377364,3716.43588048936,16.5415669028498,201.07750235017,219.653825233421,242.493766311421,76.2710494645075,3.67676471587505,0.0822646328381539,0.503453479655452,630.561492192856,3145.45211951064,2046.53917439405,461.426833950723,6.92461897300942,1.18947474401523,0.424719933860566,0.0855035774070357,7.80089739893745e-05,1.61410621913561,41.6763080207976,0.0239146277127838,0.003514805,0,0.00313132538967872,0,0,3000,112.228790653032,25.7771209346968,1.13181999752525,71.2681011875156,0,195.547879067128,74.2,221.325000001824,94.3756665077909,74.2,221.325000001824,0.188303662127885,41.6763080207976,0.600000000004946,79.2710494645075,0,6,74.5,82.8,3469.4,1155.55167453395,0.6826,-0.00342677622636001
bench_418A,8,418,1.1,0,0.663862390527129,4439.91166784544,17.5500672195144,217.825625263765,240.070023022596,264.161288002508,77.5829438584764,3.61605229201409,0.0805693416385839,0.478428403587221,707.301154459888,3946.84033215456,2753.97742929178,473.232348703199,12.3293996996951,1.19068545804797,0.422187056792191,0.104558001754658,7.80089739893745e-05,1.58341734582097,45.8068104950828,0.026315222821049,0.00429707,0,0.00374446558405223,0,0,3000,123.631763174217,24.7276177619337,1.11416397329647,75.9605908666699,0,216.597382238258,74.5,241.325000000192,92.0893521583948,74.5,241.325000000192,0.18981378015144,45.8068104950828,0.600000000000477,80.5829438584764,0,6.5,75.2,83.8,3894.36666666666,1155.70386582778,0.666,-0.002137609472871
bench_494A,9,494,1.3,0,0.640148284646625,5059.73204184693,16.7799915679124,224.736863770785,250.126623484075,275.792294992389,78.8119006433217,3.60137370450693,0.0746650606685817,0.458732450055462,607.107784722362,4851.88395815307,3740.25535554703,484.294963634201,20.2258542494804,1.19049387876687,0.426675548403906,0.123592036742353,7.80089739893745e-05,1.51093414638845,48.7267192617724,0.0260221690961391,0.005066405,0,0.00419144266781364,0,0,3000,137.574560062778,23.6819079952917,1.10403086597847,81.8365985446961,0,227.643092004949,74.3,251.325000000241,90.3724322844808,74.3,251.325000000241,0.193879316668559,48.7267192617724,0.500000000000479,81.8119006433217,0,7.5,75.9,85,4754.75,1284.47217597384,0.6469,-0.0067517153533746
bench_570A,10,570,1.5,0,0.617788486933321,5634.23100083188,15.5794930250838,219.264690354018,250.566138366594,277.002122487787,79.1996980376001,3.56802497594537,0.0710533602101169,0.424471561892208,483.513770558044,5802.24899916812,4810.30113757943,487.78761206299,20.6464789676558,1.19044716745901,0.429936367343948,0.142644304207749,7.80089739893745e-05,1.46870880566157,48.9778782816304,0.0257490884838534,0.00585298,0,0.00470498591431128,0,0,3000,157.990372129223,22.1507220903082,1.0966966797511,88.2933232678558,0,229.074277910315,75.1,251.225000000624,90.1101406467888,75.1,251.225000000624,0.194956227610743,48.9778782816304,0.450000000001117,82.1996980376001,0,9.1,75.8,85.4,6086.08000000001,1414.92011478026,0.624,-0.00621151306667944
