case_id,source_line,section,date_label,condition_note,nominal_cathode_stoich_group,current_density_A_cm2,current_A,cell_voltage_V,total_voltage_V,power_raw,voltage_drop_pct,pump_speed_rpm,egr_valve_target_pct,egr_valve_input_pct,egr_fraction_model,egr_fraction_source,is_no_egr,egr_return_flow_model_SLPM,egr_return_p_kPa,egr_return_T_C,egr_return_RH_pct,stack_in_flow_meter_SLPM,flow_calibration_SLPM,bench_supply_flow_SLPM,bench_supply_p_actual_kPa,bench_supply_T_C,bench_supply_dewpoint_C,bench_supply_RH_pct,stack_in_p_kPa,stack_in_T_C,stack_in_RH_pct,stack_in_humidity_raw,stack_out_p_kPa,stack_out_T_C,stack_out_RH_pct,stack_out_humidity_g_per_kg,bench_out_p_kPa,bench_out_T_C,bench_out_RH_pct,coolant_in_T_C,coolant_out_T_C,coolant_flow_L_min,internal_resistance_mOhm,voltage_range_V,voltage_std_mV,parse_notes,lambda_from_stack_in_flow,lambda_from_bench_supply_flow,nominal_cathode_stoich_group_filled,stoich_basis_note,fresh_flow_lambda_use_note,source_dataset,cathode_dp_kPa
cegr0608_001,6,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.798,12.795,486.21,0.0,2000.0,0.0,1.0,0.0,egr_rate_pct,1,,,,,57.2,48.54246,49.9,30.9,60.6,37.4,32.0,39.68,50.12,55.6,32.29,32.99,52.16,100.0,71.72,32.3,45.2,,60.1,60.1,,4.5,0.0305,8.14,,5.66973,4.94615,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,6.69
cegr0608_002,7,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.794,12.7,482.6,0.501253133,2000.0,6.0,61.0,0.0536594306,egr_rate_pct,0,3.01566,,,,56.2,47.71566,44.7,31.2,61.0,37.3,31.0,39.76,51.72,51.2,32.06,32.84,53.06,100.0,74.99,32.1,49.1,,60.7,60.1,,4.4,0.0322,8.7,,5.57061,4.43072,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,6.92
cegr0608_003,8,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.787,12.59,478.42,1.378446115,2000.0,8.0,81.0,0.2858217391,egr_rate_pct,0,17.09214,29.47,43.86,100.0,59.8,50.69214,33.6,31.6,59.8,37.2,32.0,40.08,52.78,50.04,33.22,32.59,52.13,100.0,75.86,31.8,49.7,,60.1,60.2,,4.4,0.0339,9.2,,5.92745,3.33047,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,7.49
cegr0608_004,9,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.782,12.51,475.38,2.005012531,2000.0,8.0,81.0,0.37072794379999996,egr_rate_pct,0,21.09442,28.69,45.84,100.0,56.9,48.29442,27.2,31.2,59.8,37.2,32.0,39.51,52.91,55.65,37.35,32.52,53.28,100.0,76.13,31.9,49.3,,60.0,60.3,,4.3,0.0341,9.31,,5.63999,2.6961,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,6.99
cegr0608_005,10,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.777,12.43,472.34,2.631578947,2000.0,9.0,91.0,0.4680959866,egr_rate_pct,0,27.99214,29.03,47.22,100.0,59.8,50.69214,22.7,31.1,59.4,37.4,32.0,39.6,53.12,61.6,41.7,32.43,53.44,100.0,77.07,31.4,48.8,,60.0,60.2,,4.3,0.0322,9.45,,5.92745,2.25005,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,7.17
cegr0608_006,11,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.768,12.29,467.02,3.759398496,2000.0,9.0,91.0,0.5478621762,egr_rate_pct,0,31.72122,29.03,48.39,100.0,57.9,49.12122,17.4,31.2,58.4,37.4,35.0,39.51,53.16,68.0,46.89,32.27,53.66,100.0,78.04,31.6,47.9,,60.1,60.4,,4.1,0.0343,9.3,,5.73912,1.72471,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,7.24
cegr0608_007,12,main,6.03下午,怠速总入堆流量不变，计量比5,5.0,0.1,38.0,0.75,12.0,456.0,6.015037594,2000.0,10.0,101.0,0.6205626263,egr_rate_pct,0,36.86142,29.03,48.85,,59.4,50.36142,13.5,29.59,57.8,37.3,36.0,39.44,53.31,73.2,51.27,32.11,53.81,100.0,78.75,31.4,46.6,,60.1,60.3,,4.1,0.0374,9.95,,5.8878,1.33814,5.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,7.33
cegr0608_008,14,main,6.03下午,计量比降低至4,4.0,0.1,38.0,0.793,12.7,482.6,0.626566416,2000.0,0.0,1.0,0.0,egr_rate_pct,1,,,,,45.8,,40.3,31.8,60.4,37.2,31.0,40.72,52.69,49.2,32.05,34.6,53.06,100.0,74.13,34.2,50.0,,60.2,60.4,,4.0,0.0297,8.42,,4.53975,3.99458,4.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,6.12
cegr0608_009,15,main,6.03下午,计量比降低至4,4.0,0.1,38.0,0.791,12.67,481.46,0.877192982,2000.0,6.0,61.0,0.05314808853,egr_rate_pct,0,2.64146,30.79,42.28,100.0,49.7,42.34146,39.7,32.8,60.8,37.3,31.0,41.36,52.69,49.2,32.0,34.68,,100.0,76.0,34.3,50.2,,,,,4.0,0.03,8.29,non_numeric:stack_out_T_C=53..53,4.92632,3.93511,4.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,6.68
cegr0608_010,16,main,6.03下午,计量比降低至4,4.0,0.1,38.0,0.79,12.65,480.7,1.002506266,2000.0,9.0,91.0,0.19525588240000002,egr_rate_pct,0,11.94966,,,,61.2,51.84966,39.9,32.9,60.5,37.4,32.0,40.96,53.22,50.4,33.21,33.08,54.03,100.0,79.22,,,,,,,4.1,0.03,8.57,,6.06622,3.95493,4.0,group label from source note; use measured stack inlet flow plus simulated mixed composition for fitting,"reference_only_do_not_fit; use fresh flow as boundary magnitude, not oxygen stoich after EGR mixing",cegr_0608_txt,7.88
