"case_id","source_dataset","is_no_egr","current_density_A_cm2","current_A","cell_voltage_V","egr_fraction_model","stack_in_flow_meter_SLPM","bench_supply_flow_SLPM","bench_supply_p_actual_kPa","bench_supply_T_C","bench_supply_RH_pct","stack_in_p_kPa","stack_in_T_C","stack_in_RH_pct","stack_out_p_kPa","stack_out_T_C","cathode_dp_kPa","bench_out_p_kPa","bench_out_T_C","egr_return_p_kPa","egr_return_T_C","egr_return_RH_pct","anode_stoich","anode_in_p_kPa","anode_in_T_C","anode_in_RH_pct","anode_out_p_kPa","coolant_in_T_C","coolant_out_T_C","coolant_flow_L_min"
"initial_noegr_01","initial_noegr_steady_xlsx","1","0.1","38","0.80165625","0","49.7","49.7","","","80","40","58.9","80","32.5","56","7.5","","","","","","5","47.8","58.2","30","43.4","61.6","60.6","5.5"
"initial_noegr_02","initial_noegr_steady_xlsx","1","0.2","76","0.7726375","0","71.8","71.8","","","60","54.9","61.2","60","44.6","62.3","10.3","","","","","","3","66.7","60.3","30","60.9","63.2","64.6","6"
"initial_noegr_03","initial_noegr_steady_xlsx","1","0.3","114","0.75044375","0","90.2","90.2","","","60","60","62.3","60","46.1","64.4","13.9","","","","","","2.7","80","61.4","30","73.5","64.4","66.3","6"
"initial_noegr_04","initial_noegr_steady_xlsx","1","0.4","152","0.73384375","0","96.6","96.6","","","60","70.1","63.8","60","56.2","67.5","13.9","","","","","","2.5","90.1","64.1","30","82.7","65.9","69.3","6"
"initial_noegr_05","initial_noegr_steady_xlsx","1","0.6","228","0.7102375","0","120.4","120.4","","","60","90","68.6","60","73.5","73.7","16.5","","","","","","2.1","109.6","69.9","30","103.2","70.3","75.5","6"
"initial_noegr_06","initial_noegr_steady_xlsx","1","0.7","266","0.701175","0","133.1","133.1","","","60","100","72.2","60","82","77.1","18","","","","","","1.7","121","73.6","30","114.2","73.2","79.2","6"
"initial_noegr_07","initial_noegr_steady_xlsx","1","0.9","342","0.68263125","0","163.1","163.1","","","60","120","74.2","60","98.9","80.5","21.1","","","","","","1.5","139.4","75.6","30","132.9","74.5","82.8","6"
"initial_noegr_08","initial_noegr_steady_xlsx","1","1.1","418","0.6660375","0","199.4","199.4","","","60","140","74.5","60","114.9","81.8","25.1","","","","","","1.5","159.9","75.6","30","152.9","75.2","83.8","6.5"
"initial_noegr_09","initial_noegr_steady_xlsx","1","1.3","494","0.646875","0","235.1","235.1","","","50","150","74.3","50","119.9","82.6","30.1","","","","","","1.5","169.9","75.2","30","162.6","75.9","85","7.5"
"initial_noegr_10","initial_noegr_steady_xlsx","1","1.5","570","0.62398125","0","271.6","271.6","","","45","149.9","75.1","45","112.5","83.1","37.4","","","","","","1.5","170.2","74.6","30","161.8","75.8","85.4","9.1"
"initial_noegr_11","initial_noegr_steady_xlsx","1","1.7","646","0.60195","0","308.8","308.8","","","40","150.1","75.1","40","104.4","83","45.7","","","","","","1.5","170.1","75.1","30","161","75.9","85.4","10"
"initial_noegr_12","initial_noegr_steady_xlsx","1","1.8","684","0.59018125","0","326.2","326.2","","","40","149.9","75.3","40","99.9","83.2","50","","","","","","1.5","170.1","75.3","30","160.8","75.7","85","11.1"
"initial_noegr_13","initial_noegr_steady_xlsx","1","1.9","722","0.57885625","0","344.4","344.4","","","40","150","75.6","40","94.7","83.4","55.3","","","","","","1.5","169.8","75.2","30","160.2","75.8","85.2","11.5"
"cegr0608_001","cegr_0608_txt","1","0.1","38.0","0.798","0.0","57.2","49.9","30.9","60.6","32.0","39.68","50.12","55.6","32.99","52.16","6.69","32.3","45.2","","","","5","47.8","58.2","30","43.4","60.1","60.1","5.5"
"cegr0608_002","cegr_0608_txt","0","0.1","38.0","0.794","0.0536594306","56.2","44.7","31.2","61.0","31.0","39.76","51.72","51.2","32.84","53.06","6.92","32.1","49.1","29.47","43.86","100.0","5","47.8","58.2","30","43.4","60.7","60.1","5.5"
"cegr0608_003","cegr_0608_txt","0","0.1","38.0","0.787","0.2858217391","59.8","33.6","31.6","59.8","32.0","40.08","52.78","50.04","32.59","52.13","7.49","31.8","49.7","29.47","43.86","100.0","5","47.8","58.2","30","43.4","60.1","60.2","5.5"
"cegr0608_004","cegr_0608_txt","0","0.1","38.0","0.782","0.37072794379999996","56.9","27.2","31.2","59.8","32.0","39.51","52.91","55.65","32.52","53.28","6.99","31.9","49.3","28.69","45.84","100.0","5","47.8","58.2","30","43.4","60.0","60.3","5.5"
"cegr0608_005","cegr_0608_txt","0","0.1","38.0","0.777","0.4680959866","59.8","22.7","31.1","59.4","32.0","39.6","53.12","61.6","32.43","53.44","7.17","31.4","48.8","29.03","47.22","100.0","5","47.8","58.2","30","43.4","60.0","60.2","5.5"
"cegr0608_006","cegr_0608_txt","0","0.1","38.0","0.768","0.5478621762","57.9","17.4","31.2","58.4","35.0","39.51","53.16","68.0","32.27","53.66","7.24","31.6","47.9","29.03","48.39","100.0","5","47.8","58.2","30","43.4","60.1","60.4","5.5"
"cegr0608_007","cegr_0608_txt","0","0.1","38.0","0.75","0.6205626263","59.4","13.5","29.59","57.8","36.0","39.44","53.31","73.2","32.11","53.81","7.33","31.4","46.6","29.03","48.85","100.0","5","47.8","58.2","30","43.4","60.1","60.3","5.5"
"cegr0608_008","cegr_0608_txt","1","0.1","38.0","0.793","0.0","45.8","40.3","31.8","60.4","31.0","40.72","52.69","49.2","34.6","53.06","6.12","34.2","50.0","","","","5","47.8","58.2","30","43.4","60.2","60.4","5.5"
"cegr0608_009","cegr_0608_txt","0","0.1","38.0","0.791","0.05314808853","49.7","39.7","32.8","60.8","31.0","41.36","52.69","49.2","34.68","","6.68","34.3","50.2","30.79","42.28","100.0","5","47.8","58.2","30","43.4","","5.5","5.5"
"cegr0608_010","cegr_0608_txt","0","0.1","38.0","0.79","0.19525588240000002","61.2","39.9","32.9","60.5","32.0","40.96","53.22","50.4","33.08","54.03","7.88","","","31.14","44.94","80.71","5","47.8","58.2","30","43.4","","5.5","5.5"
"cegr0608_011","cegr_0608_txt","0","0.1","38.0","0.789","0.2190877358","63.6","39.9","","","","41.2","53.34","50.4","32.84","53.97","8.36","","","31.22","45.51","76.6","5","47.8","58.2","30","43.4","","5.5","5.5"
"cegr0608_012","cegr_0608_txt","0","0.1","38.0","0.788","0.2303416667","64.8","39.9","","","","41.29","53.59","51.2","32.75","53.75","8.54","","","31.22","46.66","74.0","5","47.8","58.2","30","43.4","","5.5","5.5"
"cegr0608_013","cegr_0608_txt","1","0.1","38.0","0.791","0.0","34.0","29.9","31.7","59.5","33.0","40.56","52.12","49.6","36.21","52.03","4.35","35.9","49.3","","","","5","47.8","58.2","30","43.4","","5.5","5.5"
"cegr0608_014","cegr_0608_txt","0","0.1","38.0","0.785","0.1489428571","34.3","24.5","31.4","60.1","32.0","41.04","51.66","52.4","36.45","52.09","4.59","35.8","47.3","30.79","42.28","100.0","5","47.8","58.2","30","43.4","","5.5","5.5"
"cegr0608_015","cegr_0608_txt","0","0.05","20.0","0.812","0.4261","28.4","16.3","25.9","58.8","53.0","32.22","48.69","82.0","28.95","","3.27","28.3","44.4","24.53","40.36","100.0","5","47.8","58.2","30","43.4","60.1","60.1","5.5"
"cegr0608_016","cegr_0608_txt","1","0.05","20.0","0.818","0.0","26.4","26.4","22.2","61.1","47.0","33.59","49.56","82.8","29.25","","4.34","28.6","45.7","","","","5","47.8","58.2","30","43.4","60.1","60.0","5.5"
