study_type,condition,case_id,status,error_message,risk_label,boundary_case_index,target_V_cell,base_current_A,base_measured_V_cell,egr_fraction_cmd,stop_time_s,fixed_stack_in_flow_kg_s,fixed_stack_in_flow_SLPM,fixed_stack_in_p_kPa_g,fixed_stack_in_T_C,fixed_stack_out_p_kPa_g,fixed_separator_T_C,fixed_coolant_in_T_C,fixed_coolant_flow_L_min,fixed_anode_flow_kg_s,fixed_anode_back_p_kPa_abs,bracket_low_current_A,bracket_low_V_cell,bracket_high_current_A,bracket_high_V_cell,simulation_count,bisection_iter_count,I_solution_A,I_reduction_A,I_reduction_pct,V_cell_sim,V_error_V,voltage_target_ok,P_stack_W,P_reduction_W,P_reduction_pct,H2_reaction_mol_s,H2_reduction_mol_s,H2_reduction_pct,pO2_stack_kPa,p_stack_internal_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,lambda_m,T_stack_C,pO2_ca_in_kPa,xO2_ca_in,RH_ca_in,lambda_O2_actual,m_stack_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,liquid_drain_separator_kg_s,condensed_separator_kg_s,separator_out_RH,m_separator_gas_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,flow_fixed_ok,gas_residual_ok,oxygen_starvation_risk,oxygen_ok,humidity_ok,pressure_order_ok,boundary_fixed_ok,normal_operation_ok,xO2_monotonic_ok
研究类型,工况说明,基准工况编号,求解状态,错误信息,风险标签,边界工况索引,目标单电池电压 (V/cell),基准电流 (A),基准实测单电池电压 (V/cell),CEGR循环比例,仿真时长 (s),固定阴极入堆质量流量 (kg/s),固定阴极入堆标准体积流量 (SLPM),固定阴极入堆入口压力 (kPa(g)),固定阴极入堆入口温度 (C),固定阴极出口背压 (kPa(g)),固定分离器/EGR回流温度 (C),固定冷却液入口温度 (C),固定冷却液流量 (L/min),固定阳极入口质量流量 (kg/s),固定阳极出口背压 (kPa(abs)),求根下界电流 (A),下界电流对应电压 (V/cell),求根上界电流 (A),上界电流对应电压 (V/cell),仿真次数,二分迭代次数,恒电压所需电流 (A),相对38A降电流 (A),相对38A降电流比例 (%),仿真单电池电压 (V/cell),电压误差 (V/cell),电压目标是否通过,电堆输出功率 (W),相对基准功率下降 (W),相对基准功率下降比例 (%),反应氢耗摩尔流量 (mol/s),反应氢耗下降量 (mol/s),反应氢耗下降比例 (%),堆内氧分压 (kPa),堆内阴极压力 (kPa(abs)),堆内氢分压 (kPa),堆内阳极压力 (kPa(abs)),膜含水量,电堆温度 (C),阴极入口氧分压 (kPa),阴极入口氧摩尔分数,阴极入口相对湿度,实际氧气计量比,实际入堆质量流量 (kg/s),EGR回流质量流量 (kg/s),台架外排质量流量 (kg/s),分离器排液流量 (kg/s),分离器冷凝流量 (kg/s),分离器出口相对湿度,分离器气相出口流量 (kg/s),最大气体守恒残差 (kg/s),电堆净热量 (W),电堆产热 (W),冷却带走热量 (W),环境散热 (W),气体焓流热量 (W),流量固定检查,气体守恒检查,缺气风险标记,氧气裕度检查,湿度范围检查,压力顺序检查,固定边界检查,有效工况总判定,氧浓度单调性检查
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.915863067953689,60,0.767611720717746,11,9,40.06445313,-2.064453125,-5.432771382,0.799984422068383,-1.56E-05,1,512.815014059023,-26.41501406,-5.430718351,0.00332191036665937,-0.000171172,-5.432771382,20.0189538846933,137.029135232093,129.307073037217,147.284967922803,13.5912252560296,58.9156025367104,26.4313536258226,0.187025321958766,0.8,4.35597348210594,0.001071035,0,0.00103862017138432,0,0,0,0,2.38524477946811e-18,5.81512267590308,291.038173440977,-20.05229443,305.240399569903,0.0349456297670871,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.05,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.915907960239996,60,0.765285530239624,9,7,39.2578125,-1.2578125,-3.310032895,0.800076811903662,7.68119036616e-05,1,502.548247476987,-16.14824748,-3.319952195,0.00325502843903151,-0.00010429,-3.310032895,19.8770056787062,137.033318389539,129.330173020773,147.297657258439,13.5981655131717,58.9001689099652,26.1607957189724,0.185110884266566,0.805874912410777,4.40243728657766,0.001071035,5.13563184859173e-05,0.000987112228752562,5.96956711585968e-07,5.96956711585968e-07,1,5.13563184859173e-05,7.58941520739853e-19,0.186168617421813,285.120502523013,-20.16756394,305.101519445013,0.000378399050064358,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.1,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.915955371588756,60,0.762641866139772,11,9,38.45117188,-0.451171875,-1.187294408,0.800090337623353,9.03376233530873e-05,1,492.230577399717,-5.8305774,-1.198720683,0.00318814651140364,-3.74E-05,-1.187294408,19.7188218959986,137.037502467188,129.353152890734,147.310346329258,13.605122437471,58.8848637164272,25.8737822415813,0.183080008785292,0.811751188320908,4.44804731580976,0.001071035,0.000102765980079535,0.000935559912786014,1.18512134113356e-06,1.18512134113356e-06,1,0.000102765980079535,8.67361737988404e-19,-5.395148849,279.253735100283,-20.28187421,304.96379502844,-0.033036866,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.15,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.916005446561924,60,0.759609791966456,10,8,37.64453125,0.35546875,0.935444078947368,0.800008029116934,8.02911693376096e-06,1,481.854836037493,4.54516396250682,0.934449827818014,0.00312126458377578,2.94733918360067e-05,0.935444078947369,19.5415494927735,137.041688492042,129.375998578746,147.323036720475,13.6120961285692,58.8697059441901,25.5674063981246,0.180912127352731,0.81762882010179,4.49224389947892,0.001071035,0.000154228890649463,0.000883963305915256,1.76463392381734e-06,1.76463392381734e-06,1,0.000154228890649463,2.16840434497101e-18,-10.92112591,273.445038962507,-20.39508344,304.827397182215,-0.066148871,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.2,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.916058314843652,60,0.75609515726199,10,8,36.72265625,1.27734375,3.36143092105263,0.80003350927435,3.35092743501963e-05,1,470.06968879301,16.3303112069896,3.35738306064754,0.00304482809505823,0.000105909880553562,3.36143092105263,19.3598597897246,137.047065258811,129.402239051264,147.337512351635,13.6200403863805,58.8521959752341,25.2414614494971,0.178605777105941,0.823511188122838,4.5491197826241,0.001071035,0.000205777831625831,0.000832441249534646,2.33248075783029e-06,2.33248075783029e-06,1,0.000205777831625831,1.2807138162485e-18,-17.30584366,266.73368620699,-20.52586058,304.669833000482,-0.104442553,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.25,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.916114074796563,60,0.751970062958993,10,8,35.80078125,2.19921875,5.78741776315789,0.799932415333722,-6.76E-05,1,458.211286658348,28.1887133416523,5.79537692056995,0.00296839160634067,0.000182346369271118,5.78741776315789,19.1532741605704,137.052444082314,129.428310165556,147.351989331612,13.6280065050499,58.8348713004109,24.8902041100354,0.176120319193599,0.829396582274002,4.6042912997894,0.001071035,0.000257396223236701,0.000780859974080242,2.8904347900461e-06,2.8904347900461e-06,1,0.000257396223236701,1.73472347597681e-18,-23.62071908,260.095588341652,-20.65525381,304.513936186574,-0.142374952,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.3,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.916172766647337,60,0.7470558867174,11,9,34.76367188,3.236328125,8.51665296052632,0.799917732974923,-8.23E-05,1,444.929241538145,41.4707584618549,8.52606053903266,0.00288240055653342,0.000268337419078368,8.51665296052632,18.9371341033218,137.059011572173,129.45773437549,147.368247848822,13.6369538343387,58.8152301802927,24.5140750713497,0.173458871900582,0.835290053853644,4.67313120087975,0.001071035,0.000309133196879135,0.000729323281233885,3.43392364967279e-06,3.43392364967279e-06,1,0.000309133196879135,1.40946282423116e-18,-30.78073197,252.569070961855,-20.80194794,304.337194745563,-0.185443877,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.35,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.916234328457943,60,0.741094636621163,11,9,33.61132813,4.388671875,11.5491365131579,0.799983342215475,-1.67E-05,1,430.216041755816,56.1839582441844,11.5509782574392,0.00278685494563648,0.000363883029975313,11.5491365131579,18.7089520515637,137.066765589003,129.490484790316,147.386283864323,13.6468913173281,58.7932916250466,24.1104827905725,0.170603097757456,0.8411940947747,4.75709935526308,0.001071035,0.000361013154679803,0.000677808719246798,3.96077106847242e-06,3.96077106847242e-06,1,0.000361013154679803,2.05998412772246e-18,-38.77869612,244.161645744184,-20.96580097,304.139779740204,-0.233636905,1,1,0,1,1,1,1,1,1
constant_voltage_fixed_38A_boundary,initial_noegr_01_fixed_flow_temperature_pressure,initial_noegr_01,ok,,ok,1,0.8,38,0.80165625,0.4,120,0.001071035,49.7,40,58.9,32.5,56,61.6,5.5,4.26304499639966e-05,144.725,1,0.916298523084294,60,0.733697766482982,12,10,32.40136719,5.598632813,14.7332442434211,0.799982374570427,-1.76E-05,1,414.728362591753,71.671637408247,14.7351228224192,0.00268653205419468,0.000464205921417105,14.7332442434211,18.4534729230439,137.075113182507,129.524757351566,147.405207156797,13.657345879973,58.7703522082739,23.6714155493416,0.167496306735125,0.847107822626314,4.84845036408624,0.001071035,0.000413027645199246,0.000626249554248311,4.47205763296094e-06,4.47205763296094e-06,1,0.000413027645199246,5.0821976835258e-19,-47.13943497,235.372668658247,-21.13712917,303.933358432205,-0.28412563,1,1,0,1,1,1,1,1,1
