case_id,source_dataset,status,message,current_A,current_density_A_cm2,egr_fraction,V_exp,V_sim,err_V,stack_in_flow_SLPM,fresh_supply_flow_SLPM,stack_in_p_kPa_g,stack_out_p_kPa_g,cathode_dp_kPa,stack_in_T_C,stack_in_RH,pO2_stack_kPa,pCa_stack_kPa_abs,pCa_out_boundary_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,T_stack_C,xO2_stack,RH_stack,pO2_in_kPa,xO2_in,RH_in,lambda_m,lambda_ca,lambda_an,mMem_kg_s,N_drag_mol_s,N_diff_mol_s,J_drag_mol_m2_s,J_diff_mol_m2_s,J_net_mol_m2_s,mDrag_kg_s,mDiff_kg_s,mMem_raw_kg_s,mMem_limit_delta_kg_s,aCa_raw,aAn_raw,aCa_limited,aAn_limited,a_memb,a_memb_target_raw,a_memb_target,J_diff_ca_to_mem_mol_m2_s,J_diff_mem_to_an_mol_m2_s,dm_lambda_equiv_kg,k_mem_eff,tau_memb_s,membrane_dynamic_mode,mCaOut_kg_s,mIn_kg_s,lambdaO2,phaseCa_kg_s,phaseAn_kg_s,condensedCa_kg,condensedAn_kg,psatCa_next_kPa,psatAn_next_kPa,mV_ca_preclip_kg,mV_an_preclip_kg,resO2_kg_s,resN2_kg_s,resH2Oca_kg_s,resH2_kg_s,resH2Oan_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V
initial_noegr_01,initial_noegr_steady_xlsx,ok,,38,0.1,0,0.80165625,0.792021934747599,-0.00963431525240066,49.7,49.7,40,32.5,7.5,58.9,0.8,15.9737480150084,135.207493792886,133.825,134.62703853768,153.240844016324,61.2639830709746,0.118142475442059,1,26.4313536258226,0.187025321958766,0.8,11.4846664669978,14.003,9.40257973547701,-1.8789720852222e-05,0.00602885052484478,0.02688861051994,0.00991587257375787,0.0442246883551645,-0.00171544078907033,0.000108611430283226,0.000484405847327665,-0.000375794417044439,0,1,0.8804349294321,1,0.8804349294321,0.940279160670696,0.94021746471605,0.94021746471605,0.0242092046525077,0.0200154837026568,-2.38011831187215e-08,0.05,10,1,0.000337166369406051,0.000256859087218257,1.10141787736705,1.84973716104971e-05,0,1.84973716104971e-06,0,21.1416307851661,21.1416307851661,2.92459721441948e-05,1.80904276261394e-05,-1.35525271560688e-20,-8.13151629364128e-20,-3.3881317890172e-20,1.6940658945086e-20,-3.3881317890172e-21,8.13151629364128e-20,234.880343657919,280.88266367346,-281.346508148129,326.371150031898,0.977678131771284,1.19213395119811,0.266119569416058,0.00750867776618146,0.126483769268266
initial_noegr_02,initial_noegr_steady_xlsx,ok,,76,0.2,0,0.7726375,0.769509013773353,-0.00312848622664696,71.8,71.8,54.9,44.6,10.3,61.2,0.6,14.298184695758,146.690154800988,145.925,150.400629503,170.607869765703,63.2474858638409,0.097472013136506,1,30.0794278903335,0.192539144761296,0.6,11.3450565272222,14.003,9.17802618064609,-1.58310789137905e-05,0.0118532365538634,0.0294284048707483,0.0194954548583279,0.0484019816953097,-0.00144532634184909,0.000213539375424084,0.000530160953699894,-0.00031662157827581,0,1,0.873181548516587,1,0.873181548516587,0.936617722691112,0.936590774258293,0.936590774258293,0.0266633014257034,0.0217386802696063,-1.02741376497884e-08,0.05,10,1,0.000573181618253742,0.00045956871262587,1.00403022045784,5.16770360229058e-05,0,5.16770360229058e-06,0,23.1421007223933,23.1421007223933,3.49794120442809e-05,1.9523260734473e-05,0,-2.71050543121376e-19,-2.71050543121376e-20,-1.01643953670516e-20,3.3881317890172e-21,2.71050543121376e-19,204.246850566512,589.141039251603,39.3187369108289,344.223287837557,1.35216393670458,1.19144933937428,0.280436165149945,0.0150203911827124,0.126483769268266
initial_noegr_03,initial_noegr_steady_xlsx,ok,,114,0.3,0,0.75044375,0.755003846719607,0.00456009671960722,90.2,90.2,60,46.1,13.9,62.3,0.6,16.9188448197522,158.161737176143,147.425,164.291706239127,185.207218273481,64.7655499713295,0.106971794327916,1,31.0111539826871,0.192227825710133,0.6,10.8058749797637,14.003,8.33327503657332,-1.72038033334851e-05,0.0166154392323704,0.0357145632354223,0.0273280250532407,0.0587410579529973,-0.00157065164498783,0.000299331790094137,0.000643407856763839,-0.000344076066669702,0,1,0.844058504401138,1,0.844058504401138,0.922052969381109,0.922029252200569,0.922029252200569,0.0331237418584013,0.025617316094596,-8.62168446058503e-09,0.05,10,1,0.00174315164081424,0.00194381,2.82817392094889,4.86007743498301e-05,0,4.86007743498301e-06,0,24.7797004610454,24.7797004610454,3.66379414355004e-05,2.01167775809193e-05,0,1.62630325872826e-19,-4.06575814682064e-20,1.35525271560688e-20,3.3881317890172e-21,1.62630325872826e-19,242.443549705755,910.168983583437,305.149369792422,357.885100870971,4.69096321428802,1.19492557649851,0.29089335304011,0.0225446074705318,0.126483769268266
initial_noegr_04,initial_noegr_steady_xlsx,ok,,152,0.4,0,0.73384375,0.740430158911506,0.00658640891150597,96.6,96.6,70.1,56.2,13.9,63.8,0.6,15.6698425046077,167.205648548131,157.525,174.139074814224,196.210816451444,66.6088074648976,0.0937159877113666,1,32.9310350900372,0.192101706810776,0.6,10.388740587015,14.003,7.71470043146997,-1.81915596694365e-05,0.0209819546344018,0.0411776548060745,0.034509793806582,0.0677264059310435,-0.00166083060622308,0.000377995787686047,0.000741826981074777,-0.000363831193388731,0,1,0.820533537523222,1,0.820533537523222,0.910284144406189,0.910266768761611,0.910266768761611,0.0389263897936625,0.028800016137381,-6.07330718246753e-09,0.05,10,1,0.00188354836744955,0.00208173,2.27067124418183,7.67302843376335e-05,0,7.67302843376335e-06,0,26.8992592565267,26.8992592565267,4.1981899209274e-05,2.11136817300487e-05,0,-4.33680868994202e-19,5.42101086242752e-20,-1.35525271560688e-20,2.71050543121376e-20,4.33680868994202e-19,276.68561122381,1249.00185352722,592.049020274425,374.473733471854,5.7934885571292,1.19396973847733,0.296979908145018,0.0300759021525394,0.126483769268266
initial_noegr_05,initial_noegr_steady_xlsx,ok,,228,0.6,0,0.7102375,0.712562710769541,0.00232521076954106,120.4,120.4,90,73.5,16.5,68.6,0.6,14.3202301790018,185.31287192149,174.825,191.696372456395,218.731839265851,71.7753808948389,0.0772759605445473,1,36.3920985308738,0.190210890008487,0.6,10.0845911733592,14.003,7.28466558149596,-1.68649652211913e-05,0.0302151965072489,0.0489381530432464,0.0496960468869225,0.0804903832948131,-0.00153971682039453,0.00054433522533311,0.000881634529756936,-0.000337299304423826,0,1,0.802818087762707,1,0.802818087762707,0.901399841894987,0.901409043881354,0.901409043881354,0.0469453005336286,0.0335450827611845,3.12101432040822e-09,0.05,10,1,0.00237270350299054,0.00259462,1.87472879435769,0.000116653000525775,0,1.16653000525775e-05,0,33.6756914331434,33.6756914331434,5.39738553688187e-05,2.5474566987268e-05,6.09863722023096e-20,3.25260651745651e-19,-8.13151629364128e-20,-6.7762635780344e-21,-6.7762635780344e-21,3.25260651745651e-19,313.129282793125,1975.16323111271,1232.83670346216,420.972165467894,8.22507938953348,1.19078861565308,0.306603097227268,0.0451390383880015,0.126483769268266
initial_noegr_06,initial_noegr_steady_xlsx,ok,,266,0.7,0,0.701175,0.696661316473279,-0.00451368352672077,133.1,133.1,100,82,18,72.2,0.6,11.2693089724383,188.059831153167,183.325,194.868715751422,227.085802876246,75.1373901831603,0.0599240619505817,1,37.8671467033016,0.188089639653802,0.6,10.5519619220106,14.003,7.95626421417338,-8.65774375060364e-06,0.0375156344888038,0.0471271906240442,0.0617033461986905,0.0775118266842832,-0.000790424024279634,0.000675854659693458,0.000849009534705531,-0.000173154875012073,0,1,0.829973030827086,1,0.829973030827086,0.914944384038844,0.914986515413543,0.914986515413543,0.0442381269591738,0.0332736997251094,1.49580541485348e-08,0.05,10,1,0.00206195878630996,0.00205004760402205,1.26044855799033,0.00015488785474661,0,1.5488785474661e-05,0,38.8170095024444,38.8170095024444,6.37858961111255e-05,3.00639894957828e-05,-2.03287907341032e-20,6.50521303491303e-19,1.0842021724855e-19,0,-2.37169225231204e-20,6.50521303491303e-19,295.096895032276,2372.03343708972,1619.10996866816,451.230609710542,6.59596367874319,1.18528591723292,0.309503332839841,0.052637498651531,0.126483769268266
initial_noegr_07,initial_noegr_steady_xlsx,ok,,342,0.9,0,0.68263125,0.674634094689579,-0.007997155310421,163.1,163.1,120,98.9,21.1,74.2,0.6,10.9279733236746,205.007137897209,200.225,209.584908966319,244.978057450248,77.3397677015204,0.0533053309058631,1,41.6763080204541,0.188303662127885,0.6,10.5893945204277,14.003,8.01389965185503,-2.58426658920633e-07,0.0484706899041293,0.048757587092428,0.0797215294475812,0.0801933998230723,-2.3593518774559e-05,0.000873213050416063,0.000878381583594476,-5.16853317841267e-06,0,1,0.832175601607159,1,0.832175601607159,0.916002977284717,0.91608780080358,0.916087800803579,0.0457078047033164,0.034485595119756,3.02217889883582e-08,0.05,10,1,0.00252982280795235,0.00251378924673117,1.20300171900501,0.000201536380977346,0,2.01536380977346e-05,0,42.5308142337225,42.5308142337225,7.27390379617885e-05,3.28202545438136e-05,1.35525271560688e-20,-5.42101086242752e-19,-8.13151629364128e-20,2.03287907341032e-20,3.37224992125618e-20,5.42101086242752e-19,317.207445909559,3170.29023385862,2373.45649752711,471.051565164766,8.57472525718958,1.18432634804521,0.315529882258043,0.06767860182932,0.126483769268266
initial_noegr_08,initial_noegr_steady_xlsx,ok,,418,1.1,0,0.6660375,0.656779172672568,-0.00925832732743148,199.4,199.4,140,114.9,25.1,74.5,0.6,14.632668459306,232.01365662319,216.225,230.45940858517,266.855330636226,78.6618905032166,0.0630681343170705,1,45.8068104950464,0.189813780151441,0.6,10.2127669949191,14.003,7.46966088669371,1.60130691495605e-06,0.0563617323869051,0.0545840115688484,0.0927002177416203,0.0897763348171849,0.00014619414622177,0.00101537239023516,0.000983346251936044,3.2026138299121e-05,0,1,0.810591131131648,1,0.810591131131648,0.905176555685141,0.905295565565824,0.905295565565824,0.0520825907545898,0.0376937440625951,4.08859465374518e-08,0.05,10,1,0.00391751177055765,0.00429707,1.69125213787844,0.00020764822661338,0,2.0764822661338e-05,0,44.9003257401588,44.9003257401588,7.60712754919225e-05,3.36232974866036e-05,-4.06575814682064e-20,-1.0842021724855e-19,1.0842021724855e-19,2.03287907341032e-20,2.75285707857648e-20,1.0842021724855e-19,359.18287602704,3994.21289316586,3134.5959436175,482.949830871429,17.4842426498892,1.18809093315613,0.322067436635834,0.082760554579459,0.126483769268266
initial_noegr_09,initial_noegr_steady_xlsx,ok,,494,1.3,0,0.646875,0.634876827712588,-0.0119981722874117,235.1,235.1,150,119.9,30.1,74.3,0.5,6.6233691190578,222.257401250354,221.225,241.50418081922,278.616074200853,79.7256738912261,0.0298004434578857,1,48.7267192617257,0.193879316668559,0.5,9.89172248347551,14.003,7.02602559584177,3.82940022385854e-06,0.0637609825778812,0.0595097023048479,0.104870037134673,0.0978777998434998,0.000349611864558657,0.00114867195421565,0.00107208394973848,7.65880044771708e-05,0,1,0.791528116592071,1,0.791528116592071,0.895623571794553,0.895764058296036,0.895764058296036,0.0576758311774278,0.0402019686660721,4.67147806464239e-08,0.05,10,1,0.00288911746675842,0.00268123650663712,0.90522369539684,0.000282993383972671,0,2.82993383972671e-05,0,46.8863433255138,46.8863433255138,8.58779873089736e-05,3.41813712892004e-05,-5.42101086242752e-20,5.42101086242752e-19,-2.84603070277445e-19,0,-1.77876918923403e-20,5.42101086242752e-19,387.08120483997,4893.5495537597,3996.93032775559,492.523323396938,17.014697767207,1.1812471708503,0.32203341399535,0.0978531598740913,0.126483769268266
initial_noegr_10,initial_noegr_steady_xlsx,ok,,570,1.5,0,0.62398125,0.616857813973505,-0.00712343602649479,271.6,271.6,149.9,112.5,37.4,75.1,0.45,5.85070270351796,217.57664663567,213.825,243.477897188215,279.785044772318,79.7997861175023,0.026890306445962,1,48.9778782815088,0.194956227610743,0.45,9.57649645684014,14.003,6.60682688901623,6.5052655667623e-06,0.0703983640680402,0.0631764218425935,0.115786783006645,0.103908588556897,0.000593909722487396,0.00126824624022768,0.00113814092889244,0.000130105311335246,0,1,0.772042710532773,1,0.772042710532773,0.8859278929496,0.886021355266386,0.886021355266386,0.0621878001650324,0.0417207883918648,3.00509852576157e-08,0.05,10,1,0.00332497770155093,0.00304605932965157,0.894448350491177,0.000294139685102407,0,2.94139685102407e-05,0,47.0274064004898,47.0274064004898,8.71537228428707e-05,3.34331500897337e-05,0,-1.0842021724855e-18,1.35525271560688e-19,6.7762635780344e-21,5.59041745187838e-20,1.0842021724855e-18,229.774003168216,5810.73673656163,5070.81472654561,493.193479577457,16.9545272703446,1.18119232091686,0.324892616281634,0.112958121393451,0.126483769268266
