case_id,boundary_case_index,current_A,current_density_A_cm2,egr_band,lambdaO2_initial,historical_stack_in_flow_kg_s,historical_stack_in_flow_SLPM,stack_in_flow_recomputed_kg_s,stack_in_flow_recomputed_SLPM,historical_supply_wO2,historical_supply_wN2,historical_supply_wH2O,ambient_supply_p_kPa_g,ambient_supply_T_C,ambient_supply_RH,ambient_supply_wO2,ambient_supply_wN2,ambient_supply_wH2O
initial_noegr_01,1,38,0.1,low,4.59262356283096,0.001071035,49.7,0.00100615312910047,46.689240329488,0.216153520025162,0.714040997136979,0.0698054828378597,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_02,2,76,0.2,low,3.38039965979346,0.00154729,71.8,0.00148115762103297,68.731212112899,0.220257878665437,0.727599325198297,0.0521427961362663,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_03,3,114,0.3,low,2.82817392094889,0.00194381,90.2,0.00185879116888627,86.2548106211726,0.220028370192955,0.726841167484634,0.0531304623224113,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_04,4,152,0.4,mid,2.27067124418183,0.00208173,96.6,0.00198983691673063,92.3358198018852,0.219935318445052,0.726533780573468,0.0535309009814803,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_05,5,228,0.6,mid,1.87472879435769,0.00259462,120.4,0.00246429634415107,114.352498568495,0.218535031386063,0.721908075806958,0.0595568928069793,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_06,6,266,0.7,mid,1.76354485331628,0.002868305,133.1,0.00270450496048408,125.499070092069,0.216952343534633,0.716679828719147,0.0663678277462195,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_07,7,342,0.9,mid,1.68204890782541,0.003514805,163.1,0.00331653329274565,153.899456739937,0.217112595471331,0.71720920456581,0.065678199962859,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_08,8,418,1.1,mid,1.69125213787844,0.00429707,199.4,0.00407571939672072,189.128510288664,0.218239692563161,0.720932454278454,0.0608278531583849,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_09,9,494,1.3,high,1.71049060577994,0.005066405,235.1,0.00487155127626889,226.058063863986,0.221242862025414,0.73085311676477,0.0479040212098156,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_10,10,570,1.5,high,1.71867575115705,0.00585298,271.6,0.00564791875910844,262.084397174406,0.222030836122748,0.733456108426032,0.0445130554512199,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_11,11,646,1.7,high,1.73337940168276,0.00665464,308.8,0.00645573634460648,299.570132000301,0.22321486471058,0.737367425500102,0.0394177097893184,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_12,12,684,1.8,high,1.72865744111322,0.00702961,326.2,0.006816864751711,316.327830705847,0.223128651001078,0.73708262734788,0.0397887216510415,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
initial_noegr_13,13,722,1.9,high,1.72815361476621,0.00742182,344.4,0.00719348227047775,333.804281692703,0.223013243272154,0.736701389744953,0.0402853669828934,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525
