study_type,condition,case_id,status,error_message,boundary_case_index,current_A,current_density_command_A_cm2,egr_band,egr_fraction_cmd,ambient_supply_p_kPa_g,ambient_supply_T_C,ambient_supply_RH,ambient_supply_wO2,ambient_supply_wN2,ambient_supply_wH2O,historical_stack_in_flow_kg_s,historical_stack_in_flow_SLPM,stack_in_flow_recomputed_kg_s,stack_in_flow_recomputed_SLPM,lambdaO2_initial,lambdaO2_target_error,separator_iter_count,separator_iter_converged,separator_T_initial_C,separator_T_final_C,separator_T_sim_C,separator_p_kPa_g,V_cell_sim,pO2_stack_kPa,p_stack_internal_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,lambda_m,T_stack_C,stack_out_T_sim_C,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,lambda_O2_actual,m_stack_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,liquid_drain_separator_kg_s,condensed_separator_kg_s,separator_out_RH,m_separator_gas_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,gas_residual_ok,flow_fixed_ok,humidity_ok,oxygen_starvation_risk,oxygen_ok,pressure_order_ok,separator_ok,normal_operation_ok,risk_label
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-8.88178419700125e-16,2,1,56,58.8864486474179,58.8864486474179,32.5,0.789416990161826,21.4148541274666,136.993220463148,135.397550498054,146.74940122588,4.43915975269199,58.8932243237089,58.8864486474179,0.20622436550273,29.1446584546734,0.116598226368712,4.59262356283096,0.00100615312910047,0,0.00100434291873369,0,0,0,0,1.0842021724855e-18,-2.33883859935073,282.46646998161,-20.2194311649151,305.039028268735,-0.0142885228591299,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.05,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.0520345563520817,2,1,56,58.8864842117596,58.8864842117596,32.5,0.789390795724661,21.0902714254807,136.991091016549,135.055442307578,146.78015059577,4.66472376844732,58.8932421058798,58.8864842117596,0.203530157948371,28.7638995720535,0.146116529865065,4.54058900647888,0.00100615312910047,5.01833935948652e-05,0.000953484478302438,0,0,0.653119434603125,5.01833935948652e-05,3.25260651745651e-19,-2.3232522073045,282.482396199406,-20.2192983849973,305.039188245927,-0.0142414542192495,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.1,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.109468488172492,2,1,56,58.8867410714439,58.8867410714439,32.5,0.789291510556965,20.7335202489724,136.988713562309,134.675688127134,146.814481812503,4.93857672172523,58.893370535722,58.8867410714439,0.20057460438587,28.346205964833,0.17782741522959,4.48315507465847,0.00100615312910047,0.000100291420285247,0.000902622782567227,0,0,0.673946048580299,0.000100291420285247,4.77048955893622e-18,-2.26528276068288,282.542761581365,-20.2183392148541,305.040343882629,-0.0139603257263436,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.15,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.173206522549135,2,1,56,58.8874334989315,58.8874334989315,32.5,0.78904978384132,20.3383467926146,136.986147754065,134.26842909044,146.851533413345,5.26973136620215,58.8937167494658,58.8874334989315,0.197316242672745,27.8857179957257,0.21198691676509,4.41941704028182,0.00100615312910047,0.000150315122967751,0.000851785696817258,0,0,0.696434698306917,0.000150315122967751,3.89635155736978e-19,-2.12475377375457,282.689731424477,-20.2157534871712,305.043459244207,-0.0132205588039756,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.2,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.244370514521193,2,1,56,58.8887588024494,58.8887588024494,32.5,0.78860128923977,19.8980461814746,136.983368576,133.830295187966,146.891666863437,5.6729512280146,58.8943794012247,58.8887588024494,0.193704090480912,27.3752305872149,0.248891602076403,4.34825304830977,0.00100615312910047,0.00020024395807615,0.000800975832304601,0,0,0.720783985105619,0.00020024395807615,3.68628738645072e-18,-1.86438562775317,282.96241614222,-20.2108043858799,305.049422068565,-0.0118159127121651,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.25,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.324369630848252,2,1,56,58.8909759859511,58.8909759859511,32.5,0.787861411625,19.4042234345176,136.980346470444,133.35735726312,146.935309285254,6.16742827652061,58.8954879929756,58.8909759859511,0.189674671082956,26.8057728907988,0.288886681097779,4.26825393198271,0.00100615312910047,0.000250065435462699,0.000750196306388098,0,0,0.747223728167038,0.000250065435462699,2.71050543121376e-18,-1.43513488789086,283.412261732,-20.202524702427,305.05939767732,-0.00947635500175636,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.3,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.415000005623802,2,1,56,58.8944234520695,58.8944234520695,32.5,0.786719308071804,18.8462139741649,136.977046359782,132.845021767175,146.982967602995,6.7783176227994,58.8972117260347,58.8944234520695,0.185147820123343,26.1660156789315,0.332376182079254,4.17762355720716,0.00100615312910047,0.00029976466520122,0.000699450885469514,0,0,0.77602129650245,0.00029976466520122,3.57786716920216e-18,-0.772747144277674,284.106660692343,-20.1896507272638,305.074908625301,-0.00585006141687862,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.35,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.518589521616765,2,1,56,58.8995455744588,58.8995455744588,32.5,0.785028944167757,18.2102447009364,136.973426391895,132.28789899856,147.035246689525,7.5388811218112,58.8997727872294,58.8995455744588,0.18002063759356,25.4414166079098,0.379835834801639,4.07403404121419,0.00100615312910047,0.000349323780601571,0.000648744163974346,0,0,0.80748938316658,0.000349323780601571,6.50521303491303e-19,0.207447129202856,285.134401946004,-20.1705230202877,305.097954255276,-0.00047641818739757,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.4,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.638213719483644,2,1,56,58.9069357220597,58.9069357220597,32.5,0.782594381945273,17.4781876954203,136.969436318409,131.679637418914,147.092872833973,8.49351192920755,58.9034678610298,58.9069357220597,0.174158534842501,24.6129549366164,0.431829548592002,3.95440984334732,0.00100615312910047,0.000398721195189749,0.000598081792784623,0,0,0.841995447656157,0.000398721195189749,2.38524477946811e-18,1.61889028785831,286.614615777274,-20.1429257443531,305.131204273707,0.00744696006150678,1,1,1,0,1,1,1,1,ok
custom_inlet_fixed_total_flow,ambient50RH_fixed_total_flow,initial_noegr_01,ok,,1,38,0.1,low,0.45,0,25,0.5,0.230092198318883,0.760085992131562,0.00982180954955525,0.001071035,49.7,0.00100615312910047,46.689240329488,4.59262356283096,-0.778027609873391,2,1,56,58.9175796297039,58.9174133361694,32.5,0.779143847345232,16.6256529333095,136.965015380005,131.012714180513,147.156724369826,9.70204221894226,58.9087066680847,58.9174133361694,0.167381578789585,23.6552016224381,0.489030741531076,3.81459595295757,0.00100615312910047,0.000447930634804417,0.000547470775872065,0,0,0.879965948150331,0.000447930634804417,2.16840434497101e-19,3.6193096114299,288.712540814099,-20.1037988364104,305.178345535524,0.0186845035552894,1,1,1,0,1,1,1,1,ok
