study_type,condition,case_id,status,error_message,boundary_case_index,current_A,current_density_command_A_cm2,egr_band,egr_fraction_cmd,reference_cathode_stoich,reference_supply_p_kPa_g,reference_supply_T_C,reference_supply_RH,reference_anode_stoich,reference_anode_p_kPa_g,reference_anode_T_C,reference_anode_RH,native_stack_in_flow_kg_s,native_stack_in_flow_SLPM,native_stack_in_p_kPa_g,native_stack_in_T_C,native_supply_p_kPa_g,native_supply_T_C,native_supply_RH,native_anode_stoich,native_anode_p_kPa_g,native_anode_T_C,native_anode_RH,reference_alignment_ok,V_cell_sim,lambda_m,T_stack_C,stack_out_T_sim_C,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,lambda_O2_actual,lambda_O2_reference_error,maxGasRes_kg_s,gas_residual_ok,oxygen_starvation_risk
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_01,ok,,1,38,0.1,low,0,5,40,60,0.8,5,50,60,0.3,0.001071035,49.7,40,58.9,40,58.9,0.8,5,47.8,58.2,0.3,0,0.803533874478287,13.6081972865554,58.8709661840708,58.8419323681416,0.187025321958766,26.4313536258226,0.8,4.59262356283096,-0.407376437169041,3.25260651745651e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_02,ok,,2,76,0.2,low,0,3.6,55,62,0.6,3,70,62,0.3,0.00154729,71.8,54.9,61.2,54.9,61.2,0.6,3,66.7,60.3,0.3,0,0.780471512611966,13.3345851936722,63.3090082302656,65.4180164605312,0.192539144761296,30.0794278903335,0.6,3.38039965979346,-0.21960034020654,1.30104260698261e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_03,ok,,3,114,0.3,low,0,3,60,63,0.6,2.7,80,63,0.3,0.00194381,90.2,60,62.3,60,62.3,0.6,2.7,80,61.4,0.3,0,0.755117627902987,13.0748739327353,64.7337344545878,67.1674689091756,0.192227825710133,31.0111539826871,0.6,2.82817392094889,-0.171826079051111,2.16840434497101e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_04,ok,,4,152,0.4,mid,0,2.4,70,65,0.6,2.5,90,65,0.3,0.00208173,96.6,70.1,63.8,70.1,63.8,0.6,2.5,90.1,64.1,0.3,1,0.733439470783161,12.8501555159441,66.4755752897118,69.1511505794235,0.192101706810776,32.9310350900372,0.6,2.27067124418183,-0.129328755818174,9.75781955236954e-19,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_05,ok,,5,228,0.6,mid,0,2,90,70,0.6,1.8,110,70,0.3,0.00259462,120.4,90,68.6,90,68.6,0.6,2.1,109.6,69.9,0.3,1,0.704701533556923,12.5243194703762,71.3787324897434,74.1574649794867,0.190210890008487,36.3920985308738,0.6,1.87472879435769,-0.125271205642311,8.23993651088983e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_06,ok,,6,266,0.7,mid,0,1.9,100,73,0.6,1.7,120,73,0.3,0.002868305,133.1,100,72.2,100,72.2,0.6,1.7,121,73.6,0.3,0,0.693621610960594,12.4358041005651,74.548834748873,76.897669497746,0.188089639653802,37.8671467033016,0.6,1.76354485331628,-0.136455146683718,7.37257477290143e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_07,ok,,7,342,0.9,mid,0,1.8,120,75,0.6,1.5,140,75,0.3,0.003514805,163.1,120,74.2,120,74.2,0.6,1.5,139.4,75.6,0.3,1,0.676555679116396,12.1511809779085,76.4065005340002,78.6130010680003,0.188303662127885,41.6763080204541,0.6,1.68204890782541,-0.117951092174591,5.20417042793042e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_08,ok,,8,418,1.1,mid,0,1.8,140,75,0.6,1.5,160,75,0.3,0.00429707,199.4,140,74.5,140,74.5,0.6,1.5,159.9,75.6,0.3,1,0.667137681113575,11.8712211981706,77.8548766099198,81.2097532198396,0.18981378015144,45.8068104950464,0.6,1.69125213787844,-0.108747862121556,1.73472347597681e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_09,ok,,9,494,1.3,high,0,1.8,150,75,0.5,1.5,170,75,0.3,0.005066405,235.1,150,74.3,150,74.3,0.5,1.5,169.9,75.2,0.3,1,0.650326201586347,11.5813763099792,78.2649871693764,82.2299743387529,0.193879316668559,48.7267192617257,0.5,1.71049060577994,-0.0895093942200589,9.21571846612679e-19,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_10,ok,,10,570,1.5,high,0,1.8,150,75,0.45,1.5,170,75,0.3,0.00585298,271.6,149.9,75.1,149.9,75.1,0.45,1.5,170.2,74.6,0.3,1,0.625813066408232,11.3245136495374,78.9078829271309,82.7157658542619,0.194956227610743,48.9778782815089,0.45,1.71867575115705,-0.0813242488429495,6.50521303491303e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_11,ok,,11,646,1.7,high,0,1.8,150,75,0.4,1.5,170,75,0.3,0.00665464,308.8,150.1,75.1,150.1,75.1,0.4,1.5,170.1,75.1,0.3,1,0.600308102711502,11.068104889855,78.9397373652082,82.7794747304164,0.196582485942161,49.4257515280079,0.4,1.73337940168276,-0.0666205983172379,7.37257477290143e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_12,ok,,12,684,1.8,high,0,1.8,150,75,0.4,1.5,170,75,0.3,0.00702961,326.2,149.9,75.3,149.9,75.3,0.4,1.5,170.1,75.3,0.3,1,0.586653147908834,10.9553586854268,79.1588075074341,83.0176150148682,0.196463743238193,49.356603895015,0.4,1.72865744111322,-0.0713425588867764,7.80625564189563e-18,1,0
pressurized_humidified_reference_native_noegr,recommended_pressurized_humidified_noegr,initial_noegr_13,ok,,13,722,1.9,high,0,1.8,150,75,0.4,1.5,170,75,0.3,0.00742182,344.4,150,75.6,150,75.6,0.4,1.5,169.8,75.2,0.3,1,0.573111816134405,10.8479442064919,79.4393019608513,83.2786039217027,0.196304872390624,49.3363220535735,0.4,1.72815361476621,-0.0718463852337856,1.02999206386123e-18,1,0
