case_id,source_dataset,K_ca_in_kg_s_kPa,K_ca_out_kg_s_kPa,K_an_out_kg_s_kPa,p_anode_in_abs_kPa,p_anode_out_abs_kPa,anode_stoich
initial_noegr_01,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,149.125,144.725,5
initial_noegr_02,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,168.025,162.225,3
initial_noegr_03,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,181.325,174.825,2.7
initial_noegr_04,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,191.425,184.025,2.5
initial_noegr_05,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,210.925,204.525,2.1
initial_noegr_06,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,222.325,215.525,1.7
initial_noegr_07,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,240.725,234.225,1.5
initial_noegr_08,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,261.225,254.225,1.5
initial_noegr_09,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,271.225,263.925,1.5
initial_noegr_10,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,271.525,263.125,1.5
initial_noegr_11,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,271.425,262.325,1.5
initial_noegr_12,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,271.425,262.125,1.5
initial_noegr_13,initial_noegr_steady_xlsx,0.0003,0.00012,6.67e-06,271.125,261.525,1.5
cegr0608_001,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_002,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_003,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_004,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_005,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_006,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_007,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_008,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_009,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_010,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_011,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_012,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_013,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_014,cegr_0608_txt,0.0003,0.00012,6.67e-06,149.125,144.725,5
cegr0608_015,cegr_0608_txt,0.0003,0.00012,6.67e-06,140.172368421053,136.435526315789,5.94736842105263
cegr0608_016,cegr_0608_txt,0.0003,0.00012,6.67e-06,140.172368421053,136.435526315789,5.94736842105263
