case_index,case_id,is_no_egr,current_A,current_density_A_cm2,pCa_in_abs_kPa,pCa_out_abs_kPa,pCa_target_abs_kPa,pCa_model_abs_kPa,pCa_err_kPa,pAn_in_abs_kPa,pAn_out_abs_kPa,pAn_target_abs_kPa,pAn_model_abs_kPa,pAn_err_kPa,cathode_dp_kPa,anode_dp_kPa,mCaOut_kg_s,mAnOut_kg_s,Kca_current_kg_s_kPa,Kan_current_kg_s_kPa,Kca_required_kg_s_kPa,Kan_required_kg_s_kPa,Vca_m3,Van_m3,lambdaO2,stack_T_C,max_gas_residual_kg_s,valid_for_k_fit
1,initial_noegr_01,1,38,0.1,141.325,133.825,137.575,142.174072854477,4.59907285447724,149.125,144.725,146.925,153.064700400963,6.13970040096336,7.5,4.40000000000001,0.00103825888718079,5.56258407026332e-05,0.00012,6.67e-06,0.000276869036581544,2.52844730466513e-05,0.0002,0.00015,4.59262356283096,58.8220507165515,9.82558218814988e-20,1
2,initial_noegr_02,1,76,0.2,156.225,145.925,151.075,158.189126648891,7.11412664889082,168.025,162.225,165.125,171.02945366515,5.90445366515047,10.3,5.80000000000001,0.00151577689645865,5.87255920744636e-05,0.00012,6.67e-06,0.000294325610962846,2.02502041636081e-05,0.0002,0.00015,3.38039965979346,63.3012673203534,1.19262238973405e-18,1
3,initial_noegr_03,1,114,0.3,161.325,147.425,154.375,162.338210759423,7.96321075942285,181.325,174.825,178.075,185.794000191235,7.71900019123476,13.9,6.5,0.00188687732095361,7.316308904322e-05,0.00012,6.67e-06,0.000271493139705555,2.25117197056061e-05,0.0002,0.00015,2.82817392094889,64.7240636573928,7.04731412115578e-19,1
4,initial_noegr_04,1,152,0.4,171.425,157.525,164.475,172.55713931578,8.08213931578015,191.425,184.025,187.725,196.961940986514,9.23694098651447,13.9,7.40000000000001,0.00198492462471848,8.62892311870051e-05,0.00012,6.67e-06,0.000285600665427118,2.33214138343256e-05,0.0002,0.00015,2.27067124418183,66.4640223367443,1.30104260698261e-18,1
5,initial_noegr_05,1,228,0.6,191.325,174.825,183.075,192.531178546288,9.45617854628773,210.925,204.525,207.725,219.599626535932,11.8746265359322,16.5,6.40000000000001,0.00244128174619394,0.000100547568444241,0.00012,6.67e-06,0.000295912938932599,3.14211151388252e-05,0.0002,0.00015,1.87472879435769,71.3880766629483,3.25260651745651e-19,1
6,initial_noegr_06,1,266,0.7,201.325,183.325,192.325,202.496216141908,10.1712161419084,222.325,215.525,218.925,227.570364876175,8.64536487617511,18,6.79999999999998,0.00269408655253226,8.03424161950863e-05,0.00012,6.67e-06,0.000299342950281363,2.36301224103195e-05,0.0002,0.00015,1.76354485331628,74.5836421834458,1.95156391047391e-18,1
7,initial_noegr_07,1,342,0.9,221.325,200.225,210.775,222.951888204644,12.1768882046437,240.725,234.225,237.475,245.224435723363,7.74943572336298,21.1,6.5,0.00328097261235344,7.33660641624241e-05,0.00012,6.67e-06,0.000310992664678052,2.25741735884382e-05,0.0002,0.00015,1.68204890782541,76.4807019611686,2.16840434497101e-19,1
8,initial_noegr_08,1,418,1.1,241.325,216.225,228.775,244.286016130593,15.5110161305931,261.225,254.225,257.725,267.260446869823,9.53544686982281,25.1,7,0.00402259400694148,8.69460548208476e-05,0.00012,6.67e-06,0.0003205254188798,2.48417299488136e-05,0.0002,0.00015,1.69125213787844,78.0088901726365,1.73472347597681e-18,1
9,initial_noegr_09,1,494,1.3,251.325,221.225,236.275,255.570312968806,19.2953129688059,271.225,263.925,267.575,278.815346403117,11.2403464031172,30.1,7.30000000000001,0.00479486631304304,9.93184599282336e-05,0.00012,6.67e-06,0.000318595768308508,2.72105369666391e-05,0.0002,0.00015,1.71049060577994,78.4029780797948,2.84603070277445e-19,1
10,initial_noegr_10,1,570,1.5,251.225,213.825,232.525,254.720513949472,22.1955139494721,271.525,263.125,267.325,280.273384599676,12.9483845996763,37.4,8.39999999999998,0.00558835031765618,0.000114379536874911,0.00012,6.67e-06,0.000298842262976266,2.72332230654551e-05,0.0002,0.00015,1.71867575115705,79.0442332287083,1.30104260698261e-18,1
