case_index,case_id,is_no_egr,current_A,current_density_A_cm2,pCa_in_abs_kPa,pCa_out_abs_kPa,pCa_target_abs_kPa,pCa_model_abs_kPa,pCa_err_kPa,pAn_in_abs_kPa,pAn_out_abs_kPa,pAn_target_abs_kPa,pAn_model_abs_kPa,pAn_err_kPa,cathode_dp_kPa,anode_dp_kPa,mCaOut_kg_s,mAnOut_kg_s,Kca_current_kg_s_kPa,Kan_current_kg_s_kPa,Kca_required_kg_s_kPa,Kan_required_kg_s_kPa,Vca_m3,Van_m3,lambdaO2,stack_T_C,max_gas_residual_kg_s,valid_for_k_fit
1,initial_noegr_01,1,38,0.1,141.325,133.825,137.575,137.048616594812,-0.526383405188483,149.125,144.725,146.925,147.314241866252,0.389241866251865,7.5,4.40000000000001,0.00104105270502273,5.68418206891967e-05,0.000317005332950444,2.195302844285e-05,0.000277614054672729,2.58371912223619e-05,0.0008,0.00015,4.59262356283096,58.8241168635934,2.38524477946811e-18,1
2,initial_noegr_02,1,76,0.2,156.225,145.925,151.075,150.667484537194,-0.407515462805662,168.025,162.225,165.125,164.957308916061,-0.167691083939133,10.3,5.80000000000001,0.00152258626141925,5.99820936427637e-05,0.000317005332950444,2.195302844285e-05,0.000295647817751311,2.06834805664702e-05,0.0008,0.00015,3.38039965979346,63.3025902664075,2.38524477946811e-18,1
3,initial_noegr_03,1,114,0.3,161.325,147.425,154.375,153.242278932727,-1.13272106727322,181.325,174.825,178.075,178.236396802638,0.161396802638393,13.9,6.5,0.00189553603761126,7.48900415041964e-05,0.000317005332950444,2.195302844285e-05,0.000272738998217448,2.30430896935989e-05,0.0008,0.00015,2.82817392094889,64.7264901134171,1.73472347597681e-18,1
4,initial_noegr_04,1,152,0.4,171.425,157.525,164.475,163.453352448844,-1.02164755115587,191.425,184.025,187.725,188.05858785182,0.333587851820397,13.9,7.40000000000001,0.00198991088256564,8.85489490230545e-05,0.000317005332950444,2.195302844285e-05,0.000286318112599372,2.39321483846092e-05,0.0008,0.00015,2.27067124418183,66.4675086850886,1.95156391047391e-18,1
5,initial_noegr_05,1,228,0.6,191.325,174.825,183.075,181.903523995903,-1.17147600409717,210.925,204.525,207.725,209.235857441287,1.51085744128744,16.5,6.40000000000001,0.00244486483160638,0.000103416988505595,0.000317005332950444,2.195302844285e-05,0.000296347252315925,3.23178089079983e-05,0.0008,0.00015,1.87472879435769,71.3942350922264,8.45677694538693e-18,1
6,initial_noegr_06,1,266,0.7,201.325,183.325,192.325,191.038766346321,-1.28623365367881,222.325,215.525,218.925,219.267754887687,0.342754887686851,18,6.79999999999998,0.00269796955083914,8.21642716600623e-05,0.000317005332950444,2.195302844285e-05,0.000299774394537682,2.41659622529595e-05,0.0008,0.00015,1.76354485331628,74.5908336747107,1.35525271560688e-18,1
7,initial_noegr_07,1,342,0.9,221.325,200.225,210.775,209.423181854195,-1.3518181458052,240.725,234.225,237.475,237.627266653968,0.152266653967615,21.1,6.5,0.003280506529811,7.4689505333393e-05,0.000317005332950444,2.195302844285e-05,0.00031094848623801,2.29813862564286e-05,0.0008,0.00015,1.68204890782541,76.4910640410518,7.37257477290143e-18,1
8,initial_noegr_08,1,418,1.1,241.325,216.225,228.775,227.559140767727,-1.21585923227275,261.225,254.225,257.725,258.261088790689,0.536088790688495,25.1,7,0.00402305892908877,8.86031716384824e-05,0.000317005332950444,2.195302844285e-05,0.000320562464469225,2.53151918967093e-05,0.0008,0.00015,1.69125213787844,78.025350886429,4.77048955893622e-18,1
9,initial_noegr_09,1,494,1.3,251.325,221.225,236.275,235.021061451338,-1.25393854866181,271.225,263.925,267.575,268.540375252322,0.965375252322019,30.1,7.30000000000001,0.0048039496724978,0.000101320985350558,0.000317005332950444,2.195302844285e-05,0.00031919931378723,2.77591740686458e-05,0.0008,0.00015,1.71049060577994,78.4194399124744,7.80625564189563e-18,1
10,initial_noegr_10,1,570,1.5,251.225,213.825,232.525,230.247275068894,-2.27772493110649,271.525,263.125,267.325,268.456986672422,1.1319866724221,37.4,8.39999999999998,0.00561626368610018,0.000117052658338553,0.000317005332950444,2.195302844285e-05,0.000300334956475945,2.78696805567984e-05,0.0008,0.00015,1.71867575115705,79.0688196638731,9.10729824887824e-18,1
11,initial_noegr_11,1,646,1.7,251.425,205.725,228.575,224.864321143272,-3.7106788567277,271.425,262.325,266.875,268.258596886089,1.38359688608887,45.7,9.10000000000002,0.00645227510720764,0.000130260162715732,0.000317005332950444,2.195302844285e-05,0.000282375278214776,2.86286071902707e-05,0.0008,0.00015,1.73337940168276,79.0496535890884,3.79470760369927e-19,1
12,initial_noegr_12,1,684,1.8,251.225,201.225,226.225,221.597859616588,-4.62714038341241,271.425,262.125,266.775,268.386465337522,1.61146533752185,50,9.30000000000001,0.00683815963583292,0.000137457810838801,0.000317005332950444,2.195302844285e-05,0.000273526385433317,2.95608195352262e-05,0.0008,0.00015,1.72865744111322,79.2537486721976,8.67361737988404e-19,1
13,initial_noegr_13,1,722,1.9,251.325,196.025,223.675,217.765127819618,-5.90987218038183,271.125,261.525,266.325,268.127614071976,1.80261407197577,55.3,9.60000000000002,0.0072516737154654,0.000144947100094032,0.000317005332950444,2.195302844285e-05,0.000262266680486995,3.01973125195899e-05,0.0008,0.00015,1.72815361476621,79.510568805073,2.16840434497101e-18,1
14,cegr0608_001,1,38,0.1,141.005,134.315,137.66,138.095791481381,0.435791481381159,149.125,144.725,146.925,146.79724054304,-0.127759456960263,6.69,4.40000000000001,0.00121548085652584,4.54915611704243e-05,0.000317005332950444,2.195302844285e-05,0.000363372453370953,2.06779823501927e-05,0.0008,0.00015,5.50288888229954,50.3634154874493,1.40946282423116e-18,1
15,cegr0608_002,0,38,0.1,141.085,134.165,137.625,137.920538487209,0.295538487209228,149.125,144.725,146.925,146.876136816019,-0.0488631839814957,6.91999999999999,4.40000000000001,0.00119921430379857,4.72236585388562e-05,0.000317005332950444,2.195302844285e-05,0.000346593729421553,2.14652993358436e-05,0.0008,0.00015,5.36203114283927,51.9116435519303,2.05998412772246e-18,1
16,cegr0608_003,0,38,0.1,141.405,133.915,137.66,137.946550992487,0.286550992487008,149.125,144.725,146.925,146.930869549136,0.0058695491362073,7.48999999999998,4.40000000000001,0.0012806754347986,4.84252945394468e-05,0.000317005332950444,2.195302844285e-05,0.000341969408490947,2.20114975179302e-05,0.0008,0.00015,5.43011167073746,52.9183014324232,1.40946282423116e-18,1
17,cegr0608_004,0,38,0.1,140.835,133.845,137.34,137.642618798323,0.30261879832284,149.125,144.725,146.925,146.937784620334,0.0127846203338606,6.99000000000001,4.40000000000001,0.00121278027229412,4.85771117546642e-05,0.000317005332950444,2.195302844285e-05,0.000347004369755112,2.2080505343029e-05,0.0008,0.00015,4.9891040528704,53.0417806386372,4.87890977618477e-18,1
18,cegr0608_005,0,38,0.1,140.925,133.755,137.34,137.7409985792,0.400998579199893,149.125,144.725,146.925,146.949225229026,0.0242252290256886,7.17000000000002,4.40000000000001,0.0012738749118763,4.88282806774217e-05,0.000317005332950444,2.195302844285e-05,0.000355334703452243,2.21946730351915e-05,0.0008,0.00015,5.0239595063341,53.2438108065596,1.73472347597681e-18,1
19,cegr0608_006,0,38,0.1,140.835,133.595,137.215,137.408761024553,0.193761024553169,149.125,144.725,146.925,146.951599982926,0.0265999829261432,7.24000000000001,4.40000000000001,0.00122667819242344,4.8880411531256e-05,0.000317005332950444,2.195302844285e-05,0.000338861379122498,2.22183688778435e-05,0.0008,0.00015,4.56377589192552,53.2851149854715,3.25260651745651e-19,1
20,cegr0608_007,0,38,0.1,140.765,133.435,137.1,137.336554955699,0.236554955698779,149.125,144.725,146.925,146.959898349585,0.0348983495844948,7.32999999999998,4.40000000000001,0.00125685976806627,4.90625940176695e-05,0.000317005332950444,2.195302844285e-05,0.000342935816662012,2.23011790989405e-05,0.0008,0.00015,4.36398677937438,53.4300176497417,3.03576608295941e-18,1
21,cegr0608_008,1,38,0.1,142.045,135.925,138.985,138.955189780202,-0.0298102197984349,149.125,144.725,146.925,146.926040326839,0.00104032683881883,6.12,4.40000000000001,0.000971854751453226,4.83192694503563e-05,0.000317005332950444,2.195302844285e-05,0.000317599591978178,2.19633042956163e-05,0.0008,0.00015,4.41298123051766,52.8337601112443,1.42301535138722e-19,1
22,cegr0608_009,0,38,0.1,142.685,136.005,139.345,139.315504678239,-0.0294953217610043,149.125,144.725,146.925,146.927579142421,0.00257914242141055,6.68000000000001,4.40000000000001,0.00105807893469537,4.83530075586868e-05,0.000317005332950444,2.195302844285e-05,0.000316790100208193,2.19786397994029e-05,0.0008,0.00015,4.74145532779016,52.8608527957125,2.81892564846231e-18,1
23,cegr0608_010,0,38,0.1,142.285,134.405,138.345,138.545389173276,0.200389173275539,149.125,144.725,146.925,146.95579660795,0.0307966079498954,7.88,4.40000000000001,0.00131252217850859,4.89725011926595e-05,0.000317005332950444,2.195302844285e-05,0.000333127456474261,2.2260227814845e-05,0.0008,0.00015,5.68722708241251,53.3695638816863,3.25260651745651e-18,1
24,cegr0608_011,0,38,0.1,142.525,134.165,138.345,138.468072324544,0.123072324543813,149.125,144.725,146.925,146.962555299923,0.0375552999226443,8.35999999999999,4.40000000000001,0.00136409371360657,4.91208827840671e-05,0.000317005332950444,2.195302844285e-05,0.000326338208996786,2.23276739927576e-05,0.0008,0.00015,5.87529790307953,53.4847495129718,1.51788304147971e-18,1
25,cegr0608_012,0,38,0.1,142.615,134.075,138.345,138.458689286839,0.113689286839133,149.125,144.725,146.925,146.976382568073,0.051382568073393,8.54000000000002,4.40000000000001,0.00138964994075993,4.94244493431797e-05,0.000317005332950444,2.195302844285e-05,0.000325444950997641,2.24656587923542e-05,0.0008,0.00015,5.96579832294007,53.724790069721,5.65818008765873e-19,1
26,cegr0608_013,1,38,0.1,141.885,137.535,139.71,139.678774790179,-0.0312252098209456,149.125,144.725,146.925,146.897565404905,-0.0274345950951442,4.34999999999999,4.40000000000001,0.000705703785431195,4.76940757284648e-05,0.000317005332950444,2.195302844285e-05,0.000324461510543081,2.16791253311202e-05,0.0008,0.00015,3.27375340139622,52.3147898209903,2.60208521396521e-18,1
27,cegr0608_014,0,38,0.1,142.365,137.775,140.07,139.924004904825,-0.145995095175152,149.125,144.725,146.925,146.874000567899,-0.0509994321014915,4.59,4.40000000000001,0.000710237628085584,4.7176725194741e-05,0.000317005332950444,2.195302844285e-05,0.000309471733370627,2.14439659976094e-05,0.0008,0.00015,3.16364077713301,51.8737036010824,1.95156391047391e-18,1
28,cegr0608_015,0,20,0.05,133.545,130.275,131.91,132.067491497446,0.157491497445562,149.125,144.725,146.925,145.788889928035,-1.13611007196516,3.27000000000001,4.40000000000001,0.000591409576380342,2.33556275104954e-05,0.000317005332950444,2.195302844285e-05,0.000361718395339654,1.06161943229524e-05,0.0008,0.00015,4.54559831271917,48.6765767668157,2.98155597433514e-18,1
29,cegr0608_016,1,20,0.05,134.915,130.575,132.745,132.214879870834,-0.53012012916551,149.125,144.725,146.925,145.80984876737,-1.11515123262967,4.34000000000003,4.40000000000001,0.000545666359724902,2.38157968274419e-05,0.000317005332950444,2.195302844285e-05,0.000251459151946958,1.08253621942917e-05,0.0008,0.00015,4.72685031486584,49.5098733531324,4.33680868994202e-19,1
