case_index,case_id,is_no_egr,current_A,current_density_A_cm2,pCa_in_abs_kPa,pCa_out_abs_kPa,pCa_target_abs_kPa,pCa_model_abs_kPa,pCa_err_kPa,pAn_in_abs_kPa,pAn_out_abs_kPa,pAn_target_abs_kPa,pAn_model_abs_kPa,pAn_err_kPa,cathode_dp_kPa,anode_dp_kPa,mCaOut_kg_s,mAnOut_kg_s,Kca_current_kg_s_kPa,Kan_current_kg_s_kPa,Kca_required_kg_s_kPa,Kan_required_kg_s_kPa,Vca_m3,Van_m3,lambdaO2,stack_T_C,max_gas_residual_kg_s,valid_for_k_fit
1,initial_noegr_01,1,38,0.1,141.325,133.825,137.575,136.886277621014,-0.688722378986057,149.125,144.725,146.925,147.317442192769,0.392442192769067,7.5,4.40000000000001,0.00104201766702791,5.69120785839852e-05,0.000317005332950444,2.195302844285e-05,0.000277871377874108,2.5869126629084e-05,0.0002,0.00015,4.59262356283096,58.8234659799941,2.71050543121376e-19,1
2,initial_noegr_02,1,76,0.2,156.225,145.925,151.075,150.51093305235,-0.564066947649906,168.025,162.225,165.125,164.961855099013,-0.163144900986509,10.3,5.80000000000001,0.00152384174227289,6.00818961966389e-05,0.000317005332950444,2.195302844285e-05,0.000295891600441339,2.07178952402203e-05,0.0002,0.00015,3.38039965979346,63.3020728977839,3.79470760369927e-19,1
3,initial_noegr_03,1,114,0.3,161.325,147.425,154.375,152.835339665599,-1.53966033440085,181.325,174.825,178.075,178.243808575619,0.168808575618556,13.9,6.5,0.00189964921750261,7.50527525200922e-05,0.000317005332950444,2.195302844285e-05,0.000273330822662246,2.30931546215668e-05,0.0002,0.00015,2.82817392094889,64.7254726010066,9.75781955236954e-19,1
4,initial_noegr_04,1,152,0.4,171.425,157.525,164.475,162.576542878951,-1.89845712104932,191.425,184.025,187.725,188.068708734256,0.343708734256296,13.9,7.40000000000001,0.00199873688878289,8.8771133276822e-05,0.000317005332950444,2.195302844285e-05,0.000287588041551495,2.39921981829248e-05,0.0002,0.00015,2.27067124418183,66.4660401546151,8.67361737988404e-19,1
5,initial_noegr_05,1,228,0.6,191.325,174.825,183.075,180.349873578431,-2.72512642156877,210.925,204.525,207.725,209.25089311539,1.52589311539003,16.5,6.40000000000001,0.00246283868913813,0.000103747067588016,0.000317005332950444,2.195302844285e-05,0.000298525901713713,3.24209586212548e-05,0.0002,0.00015,1.87472879435769,71.3913958568162,2.13452302708084e-19,1
6,initial_noegr_06,1,266,0.7,201.325,183.325,192.325,189.115962488604,-3.20903751139554,222.325,215.525,218.925,219.281330648702,0.35633064870234,18,6.79999999999998,0.00272209874032921,8.24623014258209e-05,0.000317005332950444,2.195302844285e-05,0.000302455415592135,2.42536180664179e-05,0.0002,0.00015,1.76354485331628,74.5871412829536,2.49366499671666e-18,1
7,initial_noegr_07,1,342,0.9,221.325,200.225,210.775,206.709246236709,-4.0657537632913,240.725,234.225,237.475,237.641572303585,0.16657230358544,21.1,6.5,0.00331842721698694,7.5003558890724e-05,0.000317005332950444,2.195302844285e-05,0.000314542864169379,2.30780181202228e-05,0.0002,0.00015,1.68204890782541,76.4850471835362,1.19262238973405e-18,1
8,initial_noegr_08,1,418,1.1,241.325,216.225,228.775,224.443810441289,-4.33118955871137,261.225,254.225,257.725,258.279111944902,0.554111944902331,25.1,7,0.00407201591062697,8.89988372456385e-05,0.000317005332950444,2.195302844285e-05,0.000324463419173464,2.54282392130396e-05,0.0002,0.00015,1.69125213787844,78.0151527443835,2.16840434497101e-19,1
9,initial_noegr_09,1,494,1.3,251.325,221.225,236.275,232.013670012166,-4.2613299878337,271.225,263.925,267.575,268.56209481228,0.987094812279736,30.1,7.30000000000001,0.00485858931068842,0.000101797796175688,0.000317005332950444,2.195302844285e-05,0.000322829854530793,2.78898071714211e-05,0.0002,0.00015,1.71049060577994,78.4087825082506,1.30104260698261e-18,1
10,initial_noegr_10,1,570,1.5,251.225,213.825,232.525,227.535784571847,-4.98921542815324,271.525,263.125,267.325,268.483832715367,1.1588327153674,37.4,8.39999999999998,0.0056761111713023,0.000117642011663443,0.000317005332950444,2.195302844285e-05,0.000303535356754133,2.80100027770104e-05,0.0002,0.00015,1.71867575115705,79.0524573512772,9.75781955236954e-19,1
11,initial_noegr_11,1,646,1.7,251.425,205.725,228.575,222.460161603433,-6.11483839656682,271.425,262.325,266.875,268.290827644243,1.41582764424305,45.7,9.10000000000002,0.00651552496259479,0.00013096772595179,0.000317005332950444,2.195302844285e-05,0.000285143324402398,2.87841155937999e-05,0.0002,0.00015,1.73337940168276,79.0311340356574,1.51788304147971e-18,1
12,initial_noegr_12,1,684,1.8,251.225,201.225,226.225,219.293057482681,-6.93194251731876,271.425,262.125,266.775,268.421512506763,1.64651250676303,50,9.30000000000001,0.00690392924145665,0.000138227203105434,0.000317005332950444,2.195302844285e-05,0.000276157169658266,2.97262802377279e-05,0.0002,0.00015,1.72865744111322,79.2311991720301,6.50521303491303e-19,1
13,initial_noegr_13,1,722,1.9,251.325,196.025,223.675,215.650998206457,-8.02400179354308,271.125,261.525,266.325,268.165915263829,1.84091526382883,55.3,9.60000000000002,0.00731745524968667,0.000145787927965105,0.000317005332950444,2.195302844285e-05,0.000264645759482339,3.03724849927301e-05,0.0002,0.00015,1.72815361476621,79.4852471509552,1.30104260698261e-18,1
14,cegr0608_001,1,38,0.1,141.005,134.315,137.66,137.952496129868,0.292496129868113,149.125,144.725,146.925,146.79946683476,-0.125533165239744,6.69,4.40000000000001,0.00121638275132379,4.55404361662106e-05,0.000317005332950444,2.195302844285e-05,0.000363642078123705,2.07001982573683e-05,0.0002,0.00015,5.50288888229954,50.3626676451734,2.57498015965307e-19,1
15,cegr0608_002,0,38,0.1,141.085,134.165,137.625,137.847340297066,0.222340297065756,149.125,144.725,146.925,146.878344930748,-0.0466550692516705,6.91999999999999,4.40000000000001,0.00119966830514084,4.72721344885305e-05,0.000317005332950444,2.195302844285e-05,0.000346724943682324,2.14873338584228e-05,0.0002,0.00015,5.36203159945546,51.9108800673594,1.0842021724855e-19,1
16,cegr0608_003,0,38,0.1,141.405,133.915,137.66,137.9247806874,0.264780687400219,149.125,144.725,146.925,146.933219598372,0.00821959837230679,7.48999999999998,4.40000000000001,0.00128081343724099,4.84768864634214e-05,0.000317005332950444,2.195302844285e-05,0.000342006258275299,2.20349483924641e-05,0.0002,0.00015,5.43011453924189,52.9174819867096,8.470329472543e-20,1
