case_index,case_id,is_no_egr,current_A,current_density_A_cm2,coolant_flow_L_min,coolant_in_T_C,stack_in_T_exp_C,stack_out_T_exp_C,stack_T_target_C,stack_T_sim_C,stack_T_err_C,stack_out_T_sim_C,stack_out_T_err_C,Qgen_W,Qcool_W,Qamb_W,Qgas_W,mCaOut_kg_s,mAnOut_kg_s,h_required_W_K,h_curve_W_K,target_minus_coolant_C,valid_h_required
1,initial_noegr_01,1,38,0.1,5.5,61.6,58.9,56,57.45,58.8220507165515,1.37205071655151,58.744101433103,2.74410143310302,254.923977054616,-20.7510063665925,304.398570663598,-0.169928556524616,0.00103825888718079,5.56258407026332e-05,8.18422280335394,7.46993520996073,-4.15,1
2,initial_noegr_02,1,76,0.2,6,63.2,61.2,62.3,61.75,63.3012673203534,1.55126732035338,65.4025346407067,3.10253464070675,565.391754718728,138.296790189857,344.711103620014,6.81806926084337,0.00151577689645865,5.87255920744636e-05,-160.591116119928,1366.11367177959,-1.45,0
3,initial_noegr_03,1,114,0.3,6,64.4,62.3,64.4,63.35,64.7240636573928,1.37406365739277,67.1481273147856,2.74812731478555,897.214867320279,442.65481648965,357.516223906329,9.79127549955834,0.00188687732095361,7.316308904322e-05,-521.736800497051,1366.11367177959,-1.05,0
4,initial_noegr_04,1,152,0.4,6,65.9,63.8,67.5,65.65,66.4640223367443,0.81402233674433,69.1280446734887,1.62804467348867,1251.065995671,770.460286807189,373.175816694106,11.3457438146906,0.00198492462471848,8.62892311870051e-05,-3509.34778668954,1366.11367177959,-0.25,0
5,initial_noegr_05,1,228,0.6,6,70.3,68.6,73.7,71.15,71.3880766629483,0.238076662948245,74.1761533258965,0.476153325896504,2019.30433518436,1486.3751734639,417.492286569937,14.5877259206262,0.00244128174619394,0.000100547568444241,1871.30830037525,1366.11367177959,0.850000000000009,1
6,initial_noegr_06,1,266,0.7,6,73.2,72.2,77.1,74.65,74.5836421834458,-0.0663578165541878,76.9672843668916,-0.132715633108361,2436.45207220118,1890.16007339667,446.252434238807,13.6865131204334,0.00269408655253226,8.03424161950863e-05,1362.43745932603,1366.11367177959,1.45,1
7,initial_noegr_07,1,342,0.9,6,74.5,74.2,80.5,77.35,76.4807019611686,-0.869298038831431,78.7614039223371,-1.73859607766288,3267.80727793901,2705.81376927624,463.325986538707,15.8895695228036,0.00328097261235344,7.33660641624241e-05,973.58280205301,1366.11367177959,2.84999999999999,1
8,initial_noegr_08,1,418,1.1,6.5,75.2,74.5,81.8,78.15,78.0088901726365,-0.14110982736355,81.5177803452729,-0.282219654727086,4131.76661102119,3458.16151150286,477.079345294197,29.9608714690019,0.00402259400694148,8.69460548208476e-05,1227.88142617047,1231.18115763347,2.95,1
9,initial_noegr_09,1,494,1.3,7.5,75.9,74.3,82.6,78.45,78.4029780797948,-0.0470219202052249,82.5059561595895,-0.094043840410464,5024.71092282245,4438.29587035997,480.62654652962,41.7413728381507,0.00479486631304304,9.93184599282336e-05,1765.27093439811,1773.22621471143,2.54999999999998,1
10,initial_noegr_10,1,570,1.5,9.1,75.8,75.1,83.1,79.1,79.0442332287083,-0.0557667712916583,82.9884664574167,-0.111533542583317,5965.08736758713,5352.06494056461,486.397779603647,46.7609654679319,0.00558835031765618,0.000114379536874911,1645.68631238301,1649.73450443692,3.3,1
11,initial_noegr_11,1,646,1.7,10,75.9,75.1,83,79.05,79.0226611336788,-0.0273388663212444,82.9453222673575,-0.0546777326424888,6930.67153795872,6356.57959352719,486.203811684395,53.2584542004891,0.00640179851088163,0.000127047410774872,2028.75926672216,2035.63904370708,3.14999999999999,1
12,initial_noegr_12,1,684,1.8,11.1,75.7,75.3,83.2,79.25,79.2213346502755,-0.0286653497244913,83.142669300551,-0.0573306994489826,7430.66668447362,6844.06005761976,487.991842757803,56.3411148829596,0.00677490899004632,0.000133906192886931,1939.6235037933,1943.60867524538,3.55,1
13,initial_noegr_13,1,722,1.9,11.5,75.8,75.6,83.4,79.5,79.4745901055781,-0.0254098944218981,83.3491802111562,-0.0508197888437962,7940.6290145494,7354.66007488928,490.271163831689,58.9181473945655,0.00717061193301423,0.000141019812184758,1997.52006126679,2001.50018943626,3.7,1
14,cegr0608_001,1,38,0.1,5.5,60.1,50.12,52.16,51.14,50.3614528193338,-0.778547180666159,50.6029056386677,-1.55709436133231,244.513556529716,-72.746609901073,228.252721850033,0.626451807140644,0.00121323593812393,4.48922876765934e-05,-0.737357757829512,7.46993520996073,-8.96,0
15,cegr0608_002,0,38,0.1,5.5,60.7,51.72,53.06,52.39,51.9096303385372,-0.480369661462781,52.0992606770744,-0.960739322925562,246.419749076548,-65.6637222868199,242.186395400947,0.485603903178235,0.00119635343415655,4.65397258759176e-05,0.217359916060702,7.46993520996073,-8.31,1
16,cegr0608_003,0,38,0.1,5.5,60.1,52.78,52.13,52.455,52.9161745916733,0.461174591673341,53.0523491833467,0.922349183346675,247.785086485671,-53.6628757963243,251.245372002302,0.371900724490034,0.0012768738625769,4.76830971930963e-05,-0.204258063686077,7.46993520996073,-7.645,0
17,cegr0608_004,0,38,0.1,5.5,60,52.91,53.28,53.095,53.0397385231545,-0.0552614768455015,53.169477046309,-0.110522953691003,248.188069197479,-51.99285993337,252.357456758612,0.336027813727389,0.00120963846184289,4.7828073677237e-05,0.745281093158352,7.46993520996073,-6.905,1
18,cegr0608_005,0,38,0.1,5.5,60,53.12,53.44,53.28,53.2417271110875,-0.0382728889124806,53.363454222175,-0.0765457778249541,248.572388873504,-50.484008516735,254.175365799056,0.330848610263864,0.00127043921653057,4.80696911889174e-05,0.94978488264435,7.46993520996073,-6.72,1
19,cegr0608_006,0,38,0.1,5.5,60.1,53.16,53.66,53.41,53.2831078056039,-0.126892194396078,53.4062156112078,-0.253784388792155,249.015199592893,-50.921892645687,254.547789983497,0.322567634129832,0.00122385888625129,4.81212191725652e-05,1.09565891516013,7.46993520996073,-6.69,1
20,cegr0608_007,0,38,0.1,5.5,60.1,53.31,53.81,53.56,53.4280100868304,-0.13198991316964,53.5460201736607,-0.263979826339281,249.531224007657,-49.8394758025753,255.851917973123,0.316694299136236,0.00125397419452412,4.82966625742704e-05,1.25073246458624,7.46993520996073,-6.54,1
21,cegr0608_008,1,38,0.1,5.5,60.2,52.69,53.06,52.875,52.8319375584585,-0.043062441541494,52.973875116917,-0.0861248830829879,247.728070005776,-55.0391216459189,250.487230090999,0.296179706806635,0.000970036318828359,4.75748653971455e-05,0.482324985896513,7.46993520996073,-7.325,1
