coolant_flow_L_min,h_required_W_K,h_old_W_K,h_new_W_K,h_residual_old_W_K,h_residual_new_W_K
5.5,7.46993520996073,836,7.46993520996073,-828.530064790039,0
6,1874.97728801077,836,1366.11367177959,1038.97728801077,508.863616231175
6,1366.11367177959,836,1366.11367177959,530.113671779591,0
6,977.216901952993,836,1366.11367177959,141.216901952993,-388.896769826598
6.5,1231.18115763347,905.666666666667,1231.18115763347,325.514490966806,0
7.5,1773.22621471143,1045,1773.22621471143,728.226214711426,0
9.1,1649.73450443692,1267.93333333334,1649.73450443692,381.801171103578,0
10,2035.63904370708,1393.33333333333,2035.63904370708,642.305710373755,0
11.1,1943.60867524538,1546.6,1943.60867524538,397.008675245375,0
11.5,2001.50018943626,1602.33333333333,2001.50018943626,399.166856102933,0
