case_index,current_A,egr_fraction,V_exp,V_sim,err_V,xO2In,RHIn,lambdaO2,pCa_kPa,T_stack_C,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V,C_O2_mol_m3,lambda_m,max_gas_residual,exp_stack_in_p_abs_kPa,sim_stack_in_p_abs_kPa,stack_in_p_err_kPa,exp_stack_in_T_C,sim_stack_in_T_C,stack_in_T_err_C,exp_stack_in_RH,sim_stack_in_RH,stack_in_RH_err,exp_stack_out_p_abs_kPa,sim_stack_out_p_abs_kPa,stack_out_p_err_kPa,exp_stack_out_T_C,sim_stack_out_T_C,stack_out_T_err_C,exp_cathode_dp_kPa,sim_cathode_dp_kPa,cathode_dp_err_kPa,exp_egr_return_p_abs_kPa,sim_egr_return_p_abs_kPa,egr_return_p_err_kPa,exp_egr_return_T_C,sim_egr_return_T_C,egr_return_T_err_C,exp_egr_return_RH,sim_egr_return_RH,egr_return_RH_err,exp_bench_out_p_abs_kPa,sim_bench_out_p_abs_kPa,bench_out_p_err_kPa,exp_bench_out_T_C,sim_bench_out_T_C,bench_out_T_err_C,current_density_A_cm2,abs_err_V,ohmic_area_ohm_cm2,conc_loss_fraction,loss_terms_nonnegative
1,38,0,0.80165625,0.803546854702097,0.00189060470209734,0.187025321958766,0.8,4.59262356283096,137.050559419157,58.8709385634667,1.19283947913837,0.380830508333132,0.0084621161031423,0,0.0182517317298625,13.6293303319271,1.40946282423116e-18,141.325,141.325,0,58.9,58.9,0,0.8,0.8,1.11022302462516e-16,133.825,133.825,0,56,58.8418771269334,2.84187712693336,7.5,7.5,0,NaN,133.825,NaN,NaN,56,NaN,NaN,NaN,NaN,133.825,133.825,0,56,58.8418771269334,2.84187712693336,0.1,0.00189060470209734,0.084621161031423,0,1
2,76,0,0.7726375,0.780517800673204,0.00788030067320444,0.192539144761296,0.6,3.38039965979346,150.667887679925,63.3089669035822,1.19035803726071,0.393422026490094,0.0164182100974116,0,0.0178041893228781,13.3716422541211,1.73472347597681e-18,156.225,156.225,0,61.2,61.2,0,0.6,0.6,1.11022302462516e-16,145.925,145.925,0,62.3,65.4179338071643,3.11793380716431,10.3,10.3,-1.77635683940025e-14,NaN,145.925,NaN,NaN,62.3,NaN,NaN,NaN,NaN,145.925,145.925,0,62.3,65.4179338071643,3.11793380716431,0.2,0.00788030067320444,0.0820910504870577,0,1
3,114,0,0.75044375,0.755207635628068,0.00476388562806807,0.192227825710133,0.6,2.82817392094889,153.24285870908,64.7336151317629,1.18997450531672,0.410041848494312,0.0247250211943447,0,0.016687218602295,13.1211752474702,1.30104260698261e-18,161.325,161.325,0,62.3,62.3,0,0.6,0.6,1.11022302462516e-16,147.425,147.425,0,64.4,67.1672302635258,2.76723026352578,13.9,13.9,-2.30926389122033e-14,NaN,147.425,NaN,NaN,64.4,NaN,NaN,NaN,NaN,147.425,147.425,0,64.4,67.1672302635258,2.76723026352578,0.3,0.00476388562806807,0.0824167373144823,0,1
4,152,0,0.73384375,0.733580752170291,-0.00026299782970951,0.192101706810776,0.6,2.27067124418183,163.454030211436,66.4753267520164,1.18884316380017,0.422350715653597,0.0329116959762791,0,0.015555397646059,12.9035131135654,2.60208521396521e-18,171.425,171.425,0,63.8,63.8,0,0.6,0.6,-2.22044604925031e-16,157.525,157.525,0,67.5,69.1506535040327,1.65065350403275,13.9,13.9,5.32907051820075e-15,NaN,157.525,NaN,NaN,67.5,NaN,NaN,NaN,NaN,157.525,157.525,0,67.5,69.1506535040327,1.65065350403275,0.4,0.00026299782970951,0.0822792399406977,0,1
5,228,0,0.7102375,0.704943263365999,-0.00529423663400064,0.190210890008487,0.6,1.87472879435769,181.901628959221,71.3780967938655,1.18546570952581,0.432462376276924,0.0480600698828905,0,0.0141845247108553,12.5850128012828,8.94466792300541e-19,191.325,191.325,0,68.6,68.6,0,0.6,0.6,-1.11022302462516e-16,174.825,174.825,0,73.7,74.1561935877311,0.45619358773105,16.5,16.5,0,NaN,174.825,NaN,NaN,73.7,NaN,NaN,NaN,NaN,174.825,174.825,0,73.7,74.1561935877311,0.45619358773105,0.6,0.00529423663400064,0.0801001164714841,0,1
6,266,0,0.701175,0.693900486738878,-0.00727451326112172,0.188089639653802,0.6,1.76354485331628,191.032869397201,74.5479808068721,1.18275049439416,0.434228072321196,0.0546219353340825,0,0.0135098747876767,12.4970147253546,8.67361737988404e-19,201.325,201.325,0,72.2,72.2,0,0.6,0.6,0,183.325,183.325,0,77.1,76.8959616137442,-0.20403838625576,18,18,0,NaN,183.325,NaN,NaN,77.1,NaN,NaN,NaN,NaN,183.325,183.325,0,77.1,76.8959616137442,-0.20403838625576,0.7,0.00727451326112172,0.0780313361915464,0,1
7,342,0,0.68263125,0.676970266112937,-0.00566098388706293,0.188303662127885,0.6,1.68204890782541,209.40949598811,76.4048733571004,1.18263898342045,0.435141246257537,0.0705274710499731,0,0.0139627416921245,12.2198904995249,4.77048955893622e-18,221.325,221.325,0,74.2,74.2,0,0.6,0.6,2.22044604925031e-16,200.225,200.225,0,80.5,78.6097467142007,-1.89025328579929,21.1,21.1,-3.5527136788005e-14,NaN,200.225,NaN,NaN,80.5,NaN,NaN,NaN,NaN,200.225,200.225,0,80.5,78.6097467142007,-1.89025328579929,0.9,0.00566098388706293,0.0783638567221923,0,1
8,418,0,0.6660375,0.667716609173769,0.00167910917376946,0.18981378015144,0.6,1.69125213787844,227.526813205394,77.8518144853734,1.18358895408739,0.428905585770767,0.0869667591428544,0,0.0153574569890648,11.9471847464328,4.77048955893622e-18,241.325,241.325,0,74.5,74.5,0,0.6,0.6,0,216.225,216.225,0,81.8,81.2036289707468,-0.596371029253234,25.1,25.1,-3.5527136788005e-14,NaN,216.225,NaN,NaN,81.8,NaN,NaN,NaN,NaN,216.225,216.225,0,81.8,81.2036289707468,-0.596371029253234,1.1,0.00167910917376946,0.0790606901298677,0,1
9,494,0,0.646875,0.651138964808505,0.00426396480850499,0.193879316668559,0.5,1.71049060577994,234.987048146535,78.2614001412105,1.18444214153548,0.42836152118558,0.104941655541391,0,0.0162418597530515,11.6673158559875,6.93889390390723e-18,251.325,251.325,0,74.3,74.3,0,0.5,0.5,0,221.225,221.225,0,82.6,82.222800282421,-0.377199717579018,30.1,30.1,-3.5527136788005e-14,NaN,221.225,NaN,NaN,82.6,NaN,NaN,NaN,NaN,221.225,221.225,0,82.6,82.222800282421,-0.377199717579018,1.3,0.00426396480850499,0.0807243504164549,0,1
10,570,0,0.62398125,0.626870689195393,0.00288943919539286,0.194956227610743,0.45,1.71867575115705,230.203512959845,78.9021089901768,1.1838547557178,0.43390812508791,0.123075941434493,0,0.0159568494377879,11.4177822160701,5.20417042793042e-18,251.225,251.225,0,75.1,75.1,0,0.45,0.45,-5.55111512312578e-17,213.825,213.825,0,83.1,82.7042179803535,-0.395782019646447,37.4,37.4,3.5527136788005e-14,NaN,213.825,NaN,NaN,83.1,NaN,NaN,NaN,NaN,213.825,213.825,0,83.1,82.7042179803535,-0.395782019646447,1.5,0.00288943919539286,0.082050627622995,0,1
