case_index,current_A,egr_fraction,V_exp,V_sim,err_V,xO2In,RHIn,lambdaO2,pCa_kPa,T_stack_C,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V,C_O2_mol_m3,lambda_m,max_gas_residual,exp_stack_in_p_abs_kPa,sim_stack_in_p_abs_kPa,stack_in_p_err_kPa,exp_stack_in_T_C,sim_stack_in_T_C,stack_in_T_err_C,exp_stack_in_RH,sim_stack_in_RH,stack_in_RH_err,exp_stack_out_p_abs_kPa,sim_stack_out_p_abs_kPa,stack_out_p_err_kPa,exp_stack_out_T_C,sim_stack_out_T_C,stack_out_T_err_C,exp_cathode_dp_kPa,sim_cathode_dp_kPa,cathode_dp_err_kPa,exp_egr_return_p_abs_kPa,sim_egr_return_p_abs_kPa,egr_return_p_err_kPa,exp_egr_return_T_C,sim_egr_return_T_C,egr_return_T_err_C,exp_egr_return_RH,sim_egr_return_RH,egr_return_RH_err,exp_bench_out_p_abs_kPa,sim_bench_out_p_abs_kPa,bench_out_p_err_kPa,exp_bench_out_T_C,sim_bench_out_T_C,bench_out_T_err_C,current_density_A_cm2,abs_err_V,ohmic_area_ohm_cm2,conc_loss_fraction,loss_terms_nonnegative
1,38,0,0.80165625,0.762547159604458,-0.039109090395542,0.187025321958766,0.8,4.59262356283096,137.053260303982,58.9358309458238,1.19277449379527,0.417980632923207,0.0122467012676044,0,0.0182381675039496,13.6295019163342,1.19262238973405e-18,141.325,141.325,0,58.9,58.9,0,0.8,0.8,1.11022302462516e-16,133.825,133.825,0,56,58.9716618916476,2.97166189164759,7.5,7.5,0,NaN,133.825,NaN,NaN,56,NaN,NaN,NaN,NaN,133.825,133.825,0,56,58.9716618916476,2.97166189164759,0.1,0.039109090395542,0.122467012676044,0,1
2,76,0,0.7726375,0.738963621787852,-0.0336738782121476,0.192539144761296,0.6,3.38039965979346,150.670123069989,63.3441826546761,1.19032247075978,0.427589602326342,0.0237692466455876,0,0.0177967468394562,13.3719072779381,2.16840434497101e-18,156.225,156.225,0,61.2,61.2,0,0.6,0.6,1.11022302462516e-16,145.925,145.925,0,62.3,65.4883653093521,3.18836530935212,10.3,10.3,-1.77635683940025e-14,NaN,145.925,NaN,NaN,62.3,NaN,NaN,NaN,NaN,145.925,145.925,0,62.3,65.4883653093521,3.18836530935212,0.2,0.0336738782121476,0.118846233227938,0,1
3,114,0,0.75044375,0.718382284715602,-0.032061465284398,0.192227825710133,0.6,2.82817392094889,153.246669508152,64.7802141686291,1.18992773348387,0.435755264911312,0.0357901838569598,0,0.0166778737261967,13.1216910932606,1.95156391047391e-18,161.325,161.325,0,62.3,62.3,0,0.6,0.6,1.11022302462516e-16,147.425,147.425,0,64.4,67.2604283372582,2.86042833725823,13.9,13.9,-2.30926389122033e-14,NaN,147.425,NaN,NaN,64.4,NaN,NaN,NaN,NaN,147.425,147.425,0,64.4,67.2604283372582,2.86042833725823,0.3,0.032061465284398,0.119300612856533,0,1
4,152,0,0.73384375,0.696700965840522,-0.0371427841594781,0.192101706810776,0.6,2.27067124418183,163.459450840125,66.5374518847177,1.18878091017228,0.444448578964486,0.0476313653672764,0,0.0155437935665123,12.9043786410247,1.0842021724855e-18,171.425,171.425,0,63.8,63.8,0,0.6,0.6,-2.22044604925031e-16,157.525,157.525,0,67.5,69.2749037694355,1.77490376943545,13.9,13.9,5.32907051820075e-15,NaN,157.525,NaN,NaN,67.5,NaN,NaN,NaN,NaN,157.525,157.525,0,67.5,69.2749037694355,1.77490376943545,0.4,0.0371427841594781,0.119078413418191,0,1
5,228,0,0.7102375,0.656182155352441,-0.0540553446475588,0.190210890008487,0.6,1.87472879435769,181.916169289261,71.5018130650886,1.18534037989896,0.459655726538925,0.0695024980075963,0,0.0141625063942692,12.587220302422,2.81892564846231e-18,191.325,191.325,0,68.6,68.6,0,0.6,0.6,-1.11022302462516e-16,174.825,174.825,0,73.7,74.4036261301773,0.703626130177284,16.5,16.5,0,NaN,174.825,NaN,NaN,73.7,NaN,NaN,NaN,NaN,174.825,174.825,0,73.7,74.4036261301773,0.703626130177284,0.6,0.0540553446475588,0.115837496679327,0,1
6,266,0,0.701175,0.6352080601026,-0.0659669398974002,0.188089639653802,0.6,1.76354485331628,191.056954439016,74.7224570738867,1.18257012729582,0.46841860875783,0.0789434584353858,0,0.0134788708470642,12.5004729476514,2.16840434497101e-18,201.325,201.325,0,72.2,72.2,0,0.6,0.6,0,183.325,183.325,0,77.1,77.2449141477735,0.144914147773491,18,18,0,NaN,183.325,NaN,NaN,77.1,NaN,NaN,NaN,NaN,183.325,183.325,0,77.1,77.2449141477735,0.144914147773491,0.7,0.0659669398974002,0.112776369193408,0,1
7,342,0,0.68263125,0.611231053483682,-0.071400196516318,0.188303662127885,0.6,1.68204890782541,209.449608428283,76.6564045946383,1.18238048739372,0.469320320385957,0.101829113524081,0,0.0139180396126825,12.2258576542315,7.37257477290143e-18,221.325,221.325,0,74.2,74.2,0,0.6,0.6,2.22044604925031e-16,200.225,200.225,0,80.5,79.1128091892767,-1.38719081072334,21.1,21.1,-3.5527136788005e-14,NaN,200.225,NaN,NaN,80.5,NaN,NaN,NaN,NaN,200.225,200.225,0,80.5,79.1128091892767,-1.38719081072334,0.9,0.071400196516318,0.113143459471201,0,1
8,418,0,0.6660375,0.593267066574151,-0.0727704334258493,0.18981378015144,0.6,1.69125213787844,227.597773271034,78.2307197745977,1.18320550216076,0.464581834549463,0.125356601037149,0,0.0152863695332523,11.9572044948891,2.16840434497101e-19,241.325,241.325,0,74.5,74.5,0,0.6,0.6,0,216.225,216.225,0,81.8,81.9614395491955,0.161439549195492,25.1,25.1,-3.5527136788005e-14,NaN,216.225,NaN,NaN,81.8,NaN,NaN,NaN,NaN,216.225,216.225,0,81.8,81.9614395491955,0.161439549195492,1.1,0.0727704334258493,0.113960546397408,0,1
9,494,0,0.646875,0.571675620558029,-0.0751993794419714,0.193879316668559,0.5,1.71049060577994,235.061785871414,78.6069812564089,1.1840966993363,0.461106513496865,0.151314565281409,0,0.016175536946557,11.6774263718246,1.19262238973405e-18,251.325,251.325,0,74.3,74.3,0,0.5,0.5,0,221.225,221.225,0,82.6,82.9139625128179,0.313962512817895,30.1,30.1,-3.5527136788005e-14,NaN,221.225,NaN,NaN,82.6,NaN,NaN,NaN,NaN,221.225,221.225,0,82.6,82.9139625128179,0.313962512817895,1.3,0.0751993794419714,0.116395819447238,0,1
10,570,0,0.62398125,0.542076346203876,-0.0819049037961243,0.194956227610743,0.45,1.71867575115705,230.323789882111,79.3568983261161,1.18340011165237,0.464127558748666,0.17719620669983,0,0.0158703787707976,11.4319683707095,5.63785129692462e-18,251.225,251.225,0,75.1,75.1,0,0.45,0.45,-5.55111512312578e-17,213.825,213.825,0,83.1,83.6137966522323,0.513796652232287,37.4,37.4,3.5527136788005e-14,NaN,213.825,NaN,NaN,83.1,NaN,NaN,NaN,NaN,213.825,213.825,0,83.1,83.6137966522323,0.513796652232287,1.5,0.0819049037961243,0.118130804466553,0,1
11,646,0,0.60195,0.512726018644482,-0.0892239813555178,0.196582485942161,0.4,1.73337940168276,224.965435409878,79.3765673399344,1.18345026277637,0.465235467577807,0.205488776554081,0,0.0157444010623949,11.1844964372704,6.93889390390723e-18,251.425,251.425,0,75.1,75.1,0,0.4,0.4,0,205.725,205.725,0,83,83.6531346798687,0.653134679868742,45.7,45.7,-1.4210854715202e-14,NaN,205.725,NaN,NaN,83,NaN,NaN,NaN,NaN,205.725,205.725,0,83,83.6531346798687,0.653134679868742,1.7,0.0892239813555178,0.120875750914165,0,1
12,684,0,0.59018125,0.496522286688426,-0.0936589633115741,0.196463743238193,0.4,1.72865744111322,221.732677141099,79.656102532787,1.18312146039675,0.467413304309038,0.219185869399284,0,0.0154340837659382,11.0771550060768,7.80625564189563e-18,251.225,251.225,0,75.3,75.3,0,0.4,0.4,-5.55111512312578e-17,201.225,201.225,0,83.2,84.012205065574,0.812205065574005,50,50,0,NaN,201.225,NaN,NaN,83.2,NaN,NaN,NaN,NaN,201.225,201.225,0,83.2,84.012205065574,0.812205065574005,1.8,0.0936589633115741,0.121769927444047,0,1
13,722,0,0.57885625,0.480132183815795,-0.0987240661842049,0.196304872390624,0.4,1.72815361476621,217.931218855313,79.9657637068311,1.18273696925365,0.469665468002306,0.232939317435545,0,0.015121989878317,10.9737772363103,4.33680868994202e-18,251.325,251.325,0,75.6,75.6,0,0.4,0.4,0,196.025,196.025,0,83.4,84.3315274136623,0.93152741366228,55.3,55.3,-1.4210854715202e-14,NaN,196.025,NaN,NaN,83.4,NaN,NaN,NaN,NaN,196.025,196.025,0,83.4,84.3315274136623,0.93152741366228,1.9,0.0987240661842049,0.12259964075555,0,1
14,38,0,0.798,0.790837406110592,-0.0071625938894081,0.19910330464643,0.563266663659657,5.50288888229954,138.098661251885,50.4575505945143,1.20141553900968,0.396997897174403,0.0135802357246805,0,0.0209623878075998,13.5863834976657,2.81892564846231e-18,141.005,141.005,0,50.12,50.12,0,0.556,0.563266663659657,0.00726666365965689,134.315,134.315,0,52.16,50.7951011890285,-1.36489881097148,6.69,6.69,-2.66453525910038e-15,NaN,134.315,NaN,NaN,52.16,NaN,NaN,NaN,NaN,134.315,134.315,0,52.16,50.7951011890285,-1.36489881097148,0.1,0.0071625938894081,0.135802357246805,0,1
21,38,0,0.793,0.780393136396224,-0.0126068636037765,0.199588167600412,0.476768539626556,4.41298123051766,138.958126467036,52.9362712125575,1.19872337088928,0.405156576756274,0.0131736577367871,0,0.0195735631720601,13.5943064338066,7.58941520739853e-19,142.045,142.045,0,52.69,52.69,0,0.492,0.476768539626556,-0.0152314603734443,135.925,135.925,0,53.06,53.182542425115,0.122542425114958,6.12,6.12,4.44089209850063e-15,NaN,135.925,NaN,NaN,53.06,NaN,NaN,NaN,NaN,135.925,135.925,0,53.06,53.182542425115,0.122542425114958,0.1,0.0126068636037765,0.131736577367871,0,1
26,38,0,0.791,0.774559490643551,-0.0164405093564491,0.199371795957144,0.500354407349446,3.27375340139622,139.681183024586,52.4269131471425,1.19859217272291,0.410773654753537,0.0132590273258236,0,0.0180000825265069,13.5894350661935,3.25260651745651e-19,141.885,141.885,0,52.12,52.12,0,0.496,0.500354407349446,0.00435440734944603,137.535,137.535,0,52.03,52.733826294285,0.703826294284987,4.35,4.34999999999999,-5.32907051820075e-15,NaN,137.535,NaN,NaN,52.03,NaN,NaN,NaN,NaN,137.535,137.535,0,52.03,52.733826294285,0.703826294284987,0.1,0.0164405093564491,0.132590273258236,0,1
29,20,0,0.818,0.794089744954012,-0.0239102550459883,0.192773871197732,0.89150880496586,4.72685031486584,132.215774162377,49.5724483150691,1.20129774190372,0.400088499279062,0.00711949767064785,0,0.0193298896676268,13.7778906512651,7.58941520739853e-19,134.915,134.915,0,49.56,49.56,0,0.828,0.89150880496586,0.0635088049658599,130.575,130.575,0,NaN,49.5848966301381,NaN,4.34,4.34000000000003,3.19744231092045e-14,NaN,130.575,NaN,NaN,45.7,NaN,NaN,NaN,NaN,130.575,130.575,0,NaN,49.5848966301381,NaN,0.0526315789473684,0.0239102550459883,0.135270455742309,0,1
